rodina,varianta,mechanismus,obchodu,win,b_obchod,t,bez_podminky_b,nad_nahodou_b,p_nahoda,alfa_b_den,alfa_t,beta,is_b,is_t,oos_b,oos_t,kladne_roky,usd
A IBS nízký close v rámci dne,IBS < 0.1 → long 1 den,"zavření u low = nucené prodeje na close, druhý den návrat",194,56.70103092783505,5.435567010309279,1.394023546561627,1.4215320456540825,3.9950277061855672,0.1225,0.23471264448483836,0.7544949493094599,0.1191194157317482,4.508064516129032,1.0164487274825698,6.28960396039604,0.9984294253063319,8/10,52725.0
A IBS nízký close v rámci dne,IBS < 0.2 → long 1 den,"zavření u low = nucené prodeje na close, druhý den návrat",345,54.78260869565217,5.078260869565217,1.6382861504720103,1.4215320456540825,3.782397101449275,0.06,0.31363219689811395,0.7669328950267105,0.23818495918514343,5.2734375,1.6237428664475613,4.90945945945946,0.9700069322719803,7/10,87600.0
A IBS nízký close v rámci dne,IBS < 0.3 → long 1 den,"zavření u low = nucené prodeje na close, druhý den návrat",476,55.46218487394958,3.3608193277310923,1.3270569752174446,1.4215320456540825,1.9188214285714285,0.179,0.1264867222577302,0.2870320286410554,0.301847913375911,2.6146288209606987,0.9630156677443087,4.052631578947368,0.96799675726386,8/10,79987.5
B Série poklesů,2 nižší close → long do 1. vyššího close (max 10),vyčerpání prodejců,260,73.84615384615385,12.227884615384616,3.4178456118618956,7.078577699736611,5.205290384615385,0.0525,0.807949759174587,1.8302335881595384,0.3062139396325545,5.5,1.263978456824745,18.26824817518248,3.310890829314305,9/10,158962.5
B Série poklesů,3 nižší close → long do 1. vyššího close (max 10),vyčerpání prodejců,113,79.64601769911505,26.43141592920354,4.851089696003969,7.078577699736611,19.26763495575221,0.0,1.0094047409991194,2.904863831202692,0.15557010382167294,18.598958333333332,3.0877864388932403,32.215384615384615,3.8668068500721113,9/10,149337.5
B Série poklesů,4 nižší close → long do 1. vyššího close (max 10),vyčerpání prodejců,47,87.2340425531915,37.244680851063826,3.318057577385342,7.078577699736611,30.207382978723402,0.0,0.5939101730845777,2.1614829027255853,0.0899592658571088,-0.6153846153846154,-0.07360705790576855,51.720588235294116,3.5681267874653897,8/10,87525.0
C Noční držení,každou noc close → open,noční riziková prémie,1139,54.3459174714662,0.6393766461808604,0.7532909590089099,0.8775241439859526,-0.23566033801580333,0.607,-0.9321758134009226,-1.9453850122355567,0.4768003254854243,1.7590361445783131,1.7515758416903855,-0.5264336917562724,-0.38129401131473234,7/10,36412.5
C Noční držení,noc po poklesovém dni,prémie + reverze,700,57.99999999999999,2.004642857142857,1.6711923470710954,0.8775241439859526,1.1475492857142857,0.1415,-0.03903896380776876,-0.08524703484313154,0.35035982423127465,1.7057142857142857,1.260003477594592,2.3035714285714284,1.1619090573892414,7/10,70162.5
C Noční držení,"noc po IBS < 0,3",prémie + reverze,476,57.14285714285714,1.8266806722689075,1.279574387640316,0.8775241439859526,0.9899566701680671,0.231,0.1264867222577302,0.2870320286410554,0.301847913375911,0.7609170305676856,0.430629448956602,2.814777327935223,1.2725971644651313,7/10,43475.0
C Noční držení,noc nad MA200,prémie v býčím režimu,920,56.413043478260875,1.0839673913043477,1.5045119256952717,0.8775241439859526,0.19778220108695654,0.412,0.00683714273102473,0.016774531431441992,0.2359525241969824,1.1303501945525292,1.4784458290986122,1.0252463054187193,0.7790979773315054,7/10,49862.5
D Intradenní momentum (Gao 2018),"směr 1. půlhodiny, 15:30–16:00",zajišťování opcí (gamma) a pozdní informovaní obchodníci,2265,44.503311258278146,-0.9641280353200883,-4.012282211985871,-0.9641280353200883,0.004734657836644507,0.483,-0.9652274533242383,-4.057935854414208,0.0061334872674399295,-1.2679498269896194,-4.237919500863256,-0.6474301172227231,-1.7089580640255644,1/10,-109187.5
D Intradenní momentum (Gao 2018),"směr 1. půlhodiny, 15:30–16:00, |r1|>0,25 ATR",zajišťování opcí (gamma) a pozdní informovaní obchodníci,1389,43.700503959683225,-1.4924406047516199,-4.662036081523534,-1.4924406047516199,-0.00418331533477323,0.508,-0.9140957362788539,-4.690083385218115,0.0046723658956456925,-1.6322537112010795,-4.040027639466702,-1.3325617283950617,-2.6250543123382295,0/10,-103650.0
D Intradenní momentum (Gao 2018),"směr 1. půlhodiny, 15:30–16:00, jen long",zajišťování opcí (gamma) a pozdní informovaní obchodníci,1270,45.43307086614173,-0.9572834645669291,-3.296952176187965,-0.9572834645669291,-0.006178838582677204,0.5055,-0.5830037238578851,-3.659585809406407,0.02749346872520188,-1.4172848664688427,-4.054772186223678,-0.43708053691275167,-0.9193913622020786,2/10,-60787.5
E Gap fade s potvrzením,"RRR 2, oba směry","přestřelení na openu, uzavírání gapu",724,42.95580110497237,0.8183701657458563,1.0914897458852142,0.8183701657458563,0.0041980317679557455,0.5165,0.2823230770342637,1.191128951057335,-0.012446252268524666,-0.6434010152284264,-0.8460015361896706,2.5636363636363635,1.8754932205504338,6/10,29625.0
E Gap fade s potvrzením,"RRR 1, oba směry","přestřelení na openu, uzavírání gapu",724,57.04419889502762,1.0096685082872927,1.6138977297607118,1.0096685082872927,-0.002335980662983461,0.503,0.34200046990034766,1.7288737523936686,-0.012022596871561873,0.5964467005076142,0.8984153326021184,1.503030303030303,1.3405744496294956,7/10,36550.0
E Gap fade s potvrzením,"RRR 2, jen long","přestřelení na openu, uzavírání gapu",319,43.260188087774296,0.9741379310344828,0.8334401476326057,0.9741379310344828,-0.014166927899686543,0.5135,0.0967649843041034,0.598317165920449,0.020542177511342217,-0.2236024844720497,-0.19966289847105087,2.194620253164557,1.0626158451851582,7/10,15537.5
E Gap fade s potvrzením,"RRR 2, jen short","přestřelení na openu, uzavírání gapu",405,42.71604938271605,0.695679012345679,0.7132282994299631,0.695679012345679,-0.03101543209876534,0.4995,0.1855580927301604,1.0935993959366672,-0.032988429779866886,-0.9334763948497854,-0.9074310504555475,2.9026162790697674,1.5982672586573126,6/10,14087.5
F VWAP ±zσ reverze,"z = 2, long pod VWAP",poskytování likvidity intradenně,1185,69.78902953586498,-1.3240435319413402,-2.155816807774606,-1.3240435319413402,-0.0010842364955898631,0.514,-0.8792034297795535,-2.9030115746403964,0.10238679081727776,-0.24997096642748773,-0.43929185008163324,-2.4072184073324285,-2.2070065198573,2/10,-78449.5792675244
F VWAP ±zσ reverze,"z = 2.5, long pod VWAP",poskytování likvidity intradenně,780,66.02564102564102,-1.3467461303858272,-1.6917552384734338,-1.3467461303858272,-0.018810419357485397,0.526,-0.5920352824340916,-2.2499149144182424,0.07034129717714996,0.08456969197662662,0.12738288827216515,-2.8611462485054684,-1.9366985940322843,2/10,-52523.09908504726
F VWAP ±zσ reverze,"z = 2, short nad VWAP",poskytování likvidity intradenně,1246,63.32263242375602,-1.0616191629518654,-2.37615924845434,-1.0616191629518654,0.007916121416740918,0.5015,-0.45664935566577036,-1.9371115402508101,-0.06383283280073948,-0.7656002151957196,-1.7447492021145572,-1.381359161613345,-1.7274256677662596,1/10,-66138.87385190121
F VWAP ±zσ reverze,"z = 2.5, short nad VWAP",poskytování likvidity intradenně,694,61.09510086455331,-0.8719331032192843,-1.4480946501215608,-0.8719331032192843,0.010269311511290291,0.5,-0.19025102814421158,-1.0634783808933232,-0.039040773960932786,-0.5102367458674618,-0.7838793589021,-1.2442053774527388,-1.2168392413100542,4/10,-30256.078681709165
G Panický den,"rozpětí > 1.25 ATR a IBS < 0,25 → long do close > včerejší high (max 5)",kapitulace,132,62.878787878787875,1.8295454545454546,0.2392836655899006,6.0755048287971904,-4.250473484848486,0.764,-0.5028079472270864,-1.123587789287955,0.32093317185646636,11.470833333333333,1.4335389807409846,-6.204861111111111,-0.5042599025035545,7/10,12075.0
G Panický den,"rozpětí > 1.5 ATR a IBS < 0,25 → long do close > včerejší high (max 5)",kapitulace,98,63.26530612244898,9.183673469387756,0.95441566973253,6.0755048287971904,3.0914094387755116,0.3375,-0.0709478308134412,-0.17204124672076404,0.24479477738903976,17.95408163265306,2.002677109302738,0.413265306122449,0.02424122808804314,9/10,45000.0
G Panický den,"rozpětí > 2 ATR a IBS < 0,25 → long do close > včerejší high (max 5)",kapitulace,48,54.166666666666664,2.875,0.18933374037842515,6.0755048287971904,-3.1630104166666673,0.6405,-0.2623435968903718,-0.7280481818788813,0.1702129685799093,13.653846153846153,1.032045819331698,-9.863636363636363,-0.3352914996291141,6/10,6900.0
H Short v medvědím režimu,pod MA200 a RSI(2) > 80 → short do close < MA5 (max 10),odrazy v medvědím trhu se prodávají,41,51.21951219512195,3.6036585365853657,0.1865254300410724,-4.112269534679544,7.666810975609756,0.2485,0.26803415265452274,0.9039209492462775,-0.10737819470741483,8.517857142857142,0.3954996619341381,1.0555555555555556,0.0385173430922112,4/7,7387.5
H Short v medvědím režimu,pod MA200 a RSI(2) > 90 → short do close < MA5 (max 10),odrazy v medvědím trhu se prodávají,26,65.38461538461539,-5.461538461538462,-0.22695793700667508,-4.112269534679544,-1.6497884615384617,0.57,0.043084420765870844,0.19638484227799988,-0.05544918462158727,14.204545454545455,0.6506125845774013,-19.883333333333333,-0.5120900196982895,5/7,-7100.0
H Short v medvědím režimu,pod MA200 a RSI(2) > 95 → short do close < MA5 (max 10),,11,,,,,,,,,,,,,,,
I Delta divergence,pokles a RTH delta > 0 → long 1 den,absorpce: pasivní kupci,297,49.158249158249156,-6.593434343434343,-1.927550699236864,1.4215320456540825,-7.937578282828283,0.9985,-1.2662146408584338,-3.210985562235251,0.2168956920835928,-7.185714285714286,-1.7554453977773774,-6.0652866242038215,-1.132528884522957,4/10,-97912.5
I Delta divergence,"pokles, delta > 0 a IBS < 0,3 → long 1 den",absorpce + zavření u low,117,46.15384615384615,-4.538461538461538,-0.6106257479082274,1.4215320456540825,-5.892895299145299,0.919,-0.5282566406456317,-1.5169624549475231,0.15637525651252743,-11.537234042553191,-1.5233698545694683,0.16071428571428573,0.014163580298352059,4/10,-26550.0
J Stop-run overnight extrému,pod overnight low a zpět v 10:00 → long do 16:00,"vybrané stopy, absorpce",272,52.57352941176471,0.9990808823529411,0.518920866486491,0.9990808823529411,-0.04901148897058838,0.5005,0.020880101150247465,0.0935345481126206,0.051594854758581464,-0.9215328467153284,-0.4515984698096112,2.948148148148148,0.8987952189824101,6/10,13587.5
