rodina,varianta,mechanismus,obchodu,win,b_obchod,t,bez_podminky_b,nad_nahodou_b,p_nahoda,alfa_b_den,alfa_t,beta,is_b,is_t,oos_b,oos_t,kladne_roky,usd
1 RSI(2),RSI(2) < 10 nad MA200 → do close > MA5 (max 10),,76,73.68421052631578,25.424342105263158,3.608122481580044,7.490891132572432,17.693652960526315,0.004,0.6237716210771131,2.0291738460319704,0.11607925528101148,18.4625,2.0905646758375656,33.15972222222222,2.9682038627830725,8/10,96612.5
2 Série poklesů,3 nižší close → do 1. vyššího close (max 10),,113,79.64601769911505,26.43141592920354,4.851089696003969,7.078577699736611,19.43137942477876,0.0,1.0094047409991194,2.904863831202692,0.15557010382167294,18.598958333333332,3.0877864388932403,32.215384615384615,3.8668068500721113,9/10,149337.5
2 Série poklesů,3 nižší close → do close > MA5 (max 10),,107,79.43925233644859,30.039719626168225,3.796657191742204,7.490891132572432,22.40681425233645,0.0,0.8910086584022222,2.0921450159342787,0.2704545065972949,14.053191489361701,1.0631529843974408,42.5625,4.542036817454903,9/10,160712.5
2 Série poklesů,3 nižší close → do close > včerejší high (max 10),,105,80.0,31.88095238095238,3.8817377603285768,8.092954345917471,24.155961904761902,0.0,1.0300595695661108,2.5617704487923425,0.22778954799691384,27.95,2.753304696564405,34.829166666666666,2.842872359093924,9/10,167375.0
2 Série poklesů,3 nižší close → do 1. vyššího close (max 5),,113,79.64601769911505,26.43141592920354,4.851089696003969,6.668898156277437,19.882382743362832,0.0,1.0094047409991194,2.904863831202692,0.15557010382167294,18.598958333333332,3.0877864388932403,32.215384615384615,3.8668068500721113,9/10,149337.5
2 Série poklesů,"3 nižší close → jen nad MA200, do 1. vyššího close (max 10)",,75,80.0,17.64,3.6233916457869144,7.078577699736611,10.819846666666667,0.037,0.477421948259946,2.2208343450040444,0.052924080060992654,14.51875,2.235092597965305,21.207142857142856,2.8720975207079937,8/10,66150.0
2 Série poklesů,2 nižší close → do 1. vyššího close (max 10),,260,73.84615384615385,12.227884615384616,3.4178456118618956,7.078577699736611,5.142087980769231,0.059,0.807949759174587,1.8302335881595384,0.3062139396325545,5.5,1.263978456824745,18.26824817518248,3.310890829314305,9/10,158962.5
2 Série poklesů,4 nižší close → do 1. vyššího close (max 10),,47,87.2340425531915,37.244680851063826,3.318057577385342,7.078577699736611,30.13053989361702,0.0,0.5939101730845777,2.1614829027255853,0.0899592658571088,-0.6153846153846154,-0.07360705790576855,51.720588235294116,3.5681267874653897,8/10,87525.0
2 Série poklesů,5 nižší close → do 1. vyššího close (max 10),,12,,,,,,,,,,,,,,,
3 Kapitulační objem,pokles a objem > 1.4× průměr 20 dní → do close > včerejší high (max 5),,117,65.8119658119658,8.373931623931623,1.2162699514673196,6.0755048287971904,2.150829059829059,0.373,-0.02006122443002915,-0.049242611369862466,0.23632053544030096,6.1925675675675675,0.9801075781912214,12.127906976744185,0.7889787747689447,6/10,48987.5
3 Kapitulační objem,pokles a objem > 1.6× průměr 20 dní → do close > včerejší high (max 5),,65,70.76923076923077,27.053846153846155,2.6841064005846755,6.0755048287971904,21.336148076923077,0.0045,0.46871661096403827,1.339365961623346,0.1578570268745698,20.119565217391305,2.088149415207667,43.8421052631579,1.7173690884890953,9/10,87925.0
3 Kapitulační objem,pokles a objem > 1.8× průměr 20 dní → do close > včerejší high (max 5),,40,72.5,30.04375,2.4809139173412844,6.0755048287971904,23.840959375,0.0095,0.4037611968571333,1.7186614470469492,0.06385274101656922,23.14516129032258,1.9745713939690601,53.80555555555556,1.4856453754821837,7/9,60087.5
3 Kapitulační objem,pokles a objem > 2× průměr 20 dní → do close > včerejší high (max 5),,24,66.66666666666666,22.447916666666668,1.4875023097293922,6.0755048287971904,16.671416666666666,0.1085,0.14985300756520664,0.7522603013025185,0.04506344396651728,26.94736842105263,1.978985370202071,5.35,0.09731047255946637,5/8,26937.5
3 Kapitulační objem,"pokles a objem > 1,6× → do 1. vyššího close (max 5)",,75,73.33333333333333,16.14,2.1817689013393444,6.668898156277437,9.361501666666667,0.067,0.30167404541889176,0.9684986634511846,0.11973191313650995,6.313725490196078,1.1097359593828424,37.020833333333336,1.9173300545497478,9/10,60525.0
4 Absorpce short,pokles a delta > 0 → short 1 den/dny,,297,50.16835016835017,5.593434343434343,1.635206740256474,-2.4215320456540823,8.015172138047138,0.001,1.1355863114965927,2.883489851161098,-0.2164028923050972,6.185714285714286,1.5111488215459332,5.0652866242038215,0.9458058234884552,6/10,83062.5
4 Absorpce short,pokles a delta > 0 → short 2 den/dny,,267,44.569288389513105,3.346441947565543,0.7243191564251674,-4.336589113257244,7.629825842696629,0.0285,1.1092605546464136,2.3848939234568647,-0.3794036449836502,3.382575757575758,0.6402033166597888,3.311111111111111,0.43811284290293423,6/10,44675.0
4 Absorpce short,pokles a delta > 0 → short 3 den/dny,,243,48.559670781893004,6.833333333333333,1.3652963929706787,-6.2807287093942055,13.092944444444445,0.0035,1.5203196111683732,3.2168863595578077,-0.4195684372042107,6.11875,0.989431213745667,7.530487804878049,0.9581786772525175,4/10,83025.0
4 Absorpce short,"pokles a delta > 0, pod MA200 → short 1 den",,89,49.43820224719101,6.424157303370786,0.7621526245039993,-2.4215320456540823,8.775363764044943,0.041,0.47070391369972364,1.5308857273979077,-0.11662046250155343,17.28,1.0769720648489576,2.18359375,0.219813931783215,4/7,28587.5
4 Absorpce short,"pokles a delta > 0, nad MA200 → short 1 den",,210,50.476190476190474,5.252380952380952,1.5974509652038285,-2.4215320456540823,7.565394047619048,0.011,0.6717632896335325,2.339358864732499,-0.10030250175929721,3.773913043478261,1.0546868003100045,7.042105263157895,1.2028621276385478,7/10,55150.0
5 Před svátkem,close 2 dny před svátkem → close den před svátkem,,88,68.18181818181817,7.284090909090909,2.305564922151227,1.4215320456540825,5.742987215909091,0.119,0.24834429934128238,2.013483612953754,0.01665608075766679,5.321428571428571,1.503690278471943,9.076086956521738,1.7681347935002372,8/10,32050.0
