varianta,obchodu,win,b_obchod,t,usd,maxdd_usd,nejhorsi_b,drzeni_dni,kladne_roky,nahoda_b,p_nahoda,is_2016_21_b,is_t,oos_2022_26_b,oos_t,nova_data_n,nova_data_b
"VAL swing (výzkum: bez stopu, max 10 dní)",256,80.469,12.029,2.493,153975.0,-33687.5,-379.75,4.406,9/11,7.738,0.214,13.08,3.177,10.634,1.081,46,1.332
VAL swing + stop 3×ATR,290,74.828,3.913,0.772,56745.536,-55914.286,-293.0,3.369,7/11,5.795,0.65,3.923,0.866,3.9,0.384,54,-1.827
"VAL swing + stop 2,5×ATR",302,71.523,2.74,0.578,41373.214,-80345.089,-244.25,3.086,8/11,5.265,0.718,5.986,1.479,-1.441,-0.151,56,0.637
VAL swing jen nad MA200,199,80.905,8.474,1.66,84312.5,-28450.0,-379.75,4.397,7/10,7.688,0.459,10.314,2.398,5.848,0.541,28,-3.009
VAL swing max 5 dní,302,70.199,9.317,2.485,140687.5,-38112.5,-356.5,2.967,9/11,5.202,0.171,10.507,2.923,7.742,1.059,57,-1.68
VAL swing + add-on,256,82.422,18.524,2.484,237112.5,-46912.5,-728.75,4.406,9/11,7.738,0.021,20.324,3.314,16.136,1.05,46,5.364
RSI(2)<10 nad MA200 (výzkum),76,73.684,25.424,3.608,96612.5,-11975.0,-151.25,3.342,8/10,5.427,0.012,18.462,2.091,33.16,2.968,15,-0.85
RSI(2)<10 + stop 3×ATR,89,69.663,17.289,2.323,76937.5,-13919.643,-168.071,2.719,8/10,4.198,0.033,15.005,1.856,20.218,1.489,20,0.762
RSI(2)<5 nad MA200,43,76.744,31.953,3.195,68700.0,-10775.0,-142.75,3.395,6/10,5.26,0.012,15.619,1.141,47.545,3.387,8,-7.0
RSI(2)<20 nad MA200,130,71.538,13.679,2.663,88912.5,-17225.0,-250.75,3.492,7/10,5.696,0.123,10.433,1.541,17.131,2.192,24,-1.312
"Obě (1 pozice, první signál)",248,81.048,14.928,3.202,185112.5,-29412.5,-301.75,4.198,9/10,7.26,0.079,13.474,2.935,16.611,1.94,46,-3.935
Obě + stop 3×ATR,294,75.17,6.503,1.276,95591.071,-55716.071,-293.0,3.248,7/10,5.481,0.412,5.49,1.152,7.729,0.797,55,-8.917
