varianta,obchodu,win,b_obchod,t,usd,maxdd_usd,nejhorsi_b,drzeni_dni,kladne_roky,nahoda_b,p_nahoda,is_2016_21_b,is_t,oos_2022_26_b,oos_t,nova_data_n,nova_data_b
"VAL swing (výzkum: bez stopu, max 10 dní)",176,85.227,12.952,2.196,113975.0,-24987.5,-499.75,3.33,8/11,5.443,0.09,11.792,1.792,14.312,1.393,27,6.444
VAL swing + stop 3×ATR,185,82.703,9.686,1.715,89592.857,-30694.643,-295.143,2.524,9/11,4.219,0.13,11.856,2.385,7.188,0.668,28,3.311
"VAL swing + stop 2,5×ATR",186,81.72,11.302,2.179,105112.946,-28325.0,-246.036,2.457,9/11,4.082,0.076,13.655,3.018,8.626,0.876,28,4.217
VAL swing jen nad MA200,130,84.615,6.84,1.002,44462.5,-24987.5,-499.75,3.308,7/10,5.456,0.42,8.483,1.042,4.67,0.399,16,6.328
VAL swing max 5 dní,190,79.474,14.507,3.09,137812.5,-18925.0,-343.75,2.458,10/11,4.185,0.014,14.604,3.365,14.396,1.643,30,1.517
VAL swing + add-on,176,86.932,17.135,2.287,150787.5,-44962.5,-513.25,3.33,8/11,5.443,0.017,18.445,2.553,15.599,1.117,27,9.731
RSI(2)<10 nad MA200 (výzkum),79,74.684,24.627,3.587,97275.0,-16962.5,-150.0,3.38,7/10,5.205,0.01,12.622,1.451,36.331,3.509,16,-5.297
RSI(2)<10 + stop 3×ATR,90,71.111,18.513,2.544,83307.143,-20502.679,-160.786,2.756,6/10,4.254,0.021,7.13,0.834,30.955,2.612,20,-5.697
RSI(2)<5 nad MA200,44,77.273,34.068,3.313,74950.0,-11550.0,-150.0,3.364,7/10,5.336,0.008,14.988,1.078,51.489,3.588,7,-15.464
RSI(2)<20 nad MA200,126,69.841,12.687,2.429,79925.0,-17337.5,-252.0,3.548,7/10,5.724,0.154,7.492,1.077,18.048,2.309,22,-6.489
"Obě (1 pozice, první signál)",206,83.01,16.163,3.05,166475.0,-24987.5,-499.75,3.282,8/10,5.582,0.024,13.395,2.147,19.154,2.189,39,3.936
Obě + stop 3×ATR,230,79.565,11.742,2.315,135033.036,-38715.179,-295.143,2.565,8/10,4.174,0.044,12.477,2.684,10.94,1.171,44,3.32
