h,var,n,pts,t,win,roky_kladne,pozn
H1 open vs VA,open nad VAH -> long do close,801,-1.3220973782771535,-1.0273651799465107,0.5243445692883895,3/9,
H1 open vs VA,open pod VAL -> short do close,557,-2.6813285457809695,-1.4249137928802007,0.4362657091561939,2/9,
H1 open vs VA,open uvnitř VA -> long (drift),687,0.7390829694323144,0.5349413161707515,0.5181950509461426,5/9,
H2 80% pravidlo,"re-entry do VA -> druhá hrana (v R, symetrický SL)",455,0.006017740365791921,0.13740077405780327,0.5230769230769231,5/9,null = 0 R
H3 POC magnet,P(dotyk včer. POC)=0.50 vs zrcadlo 0.46,1913,,2.3858065116666336,,,t rozdílu pravděpodobností
H4 IB průraz,close za IB + CVD souhlasí -> do close,1508,0.2413793103448276,0.2882542254827229,0.5112732095490716,3/9,
H4 IB průraz,close za IB + CVD nesouhlasí -> do close,362,-4.272790055248619,-2.695996388026118,0.43922651933701656,1/9,
H5 IB šířka,"násobek IB, o který se den rozšíří: 2.68, 2.14, 2.13, 1.87, 1.70 (úzký→široký IB)",2026,,,,,"jen range, ne směr"
H6 VWAP strana,v 10:30 na straně VWAP -> do close,2046,-0.5779569892473119,-0.7854477293946874,0.5068426197458455,3/9,
H6 VWAP strana,v 11:30 na straně VWAP -> do close,2046,-0.4397605083088954,-0.6661571824548301,0.4970674486803519,3/9,
H7 VWAP pullback,1. dotyk VWAP ve směru sklonu -> do close (vstup limitkou na VWAP),1729,-0.01777840798829782,-0.022566385414134277,0.5049161364950838,3/9,
H8 VWAP ±σ fade,close za 2.0σ -> fade do close,1647,-0.42820279295689134,-0.549289387017839,0.4723740133576199,5/9,
H8 VWAP ±σ fade,close za 2.0σ -> fade 60 min,1647,-0.9500607164541591,-2.7843663551305164,0.4541590771098968,4/9,
H8 VWAP ±σ fade,close za 2.5σ -> fade do close,844,-0.7526658767772512,-0.6918090064961858,0.4881516587677725,4/9,
H8 VWAP ±σ fade,close za 2.5σ -> fade 60 min,844,-1.6777251184834123,-2.474786703826705,0.45734597156398105,3/9,
H9 CVD divergence,nové high/low dne bez potvrzení CVD -> fade do close,1625,-0.466,-0.6391036984707251,0.47446153846153843,4/9,
H10 absorpce,"|Δz|≥3, cena proti deltě -> proti deltě do close",46,1.516304347826087,0.4777117598509212,0.5,6/9,
H10 absorpce,"|Δz|≥3, cena proti deltě -> proti deltě 30 min",46,-1.1195652173913044,-0.7949867277890096,0.41304347826086957,3/9,
H11 delta+cena 1. půlhodina,cena i CVD stejným směrem -> pokračování do close,1484,0.5283018867924528,0.548752703147295,0.5215633423180593,5/9,
S1 denní divergence delty,růst dne + záporná delta -> short 1 den,358,-0.420391061452514,-0.17575273815340084,0.441340782122905,4/9,
S1 denní divergence delty,pokles dne + kladná delta -> long 1 den,296,0.9695945945945946,0.2654232516498627,0.5168918918918919,5/9,
S1 denní divergence delty,pokles dne + kladná delta -> long 3 dny,296,4.951858108108108,0.8937361860316732,0.5472972972972973,5/9,
S2 migrace value,2 dny VA výš -> long 1 den,491,0.5412423625254582,0.30050266494379285,0.515274949083503,5/9,
S2 migrace value,2 dny VA níž -> short 1 den,316,-5.783227848101266,-1.9305486431526073,0.43037974683544306,3/9,
S2 migrace value,2 dny VA níž -> long 3 dny (reverze),316,12.934335443037975,2.6996680429408957,0.6012658227848101,6/9,
S3 close vs VA,close nad VAH -> long 1 den,420,-0.7904761904761904,-0.3292456083073928,0.5404761904761904,6/9,
S3 close vs VA,close pod VAL -> long 1 den (reverze),348,9.216954022988507,2.996767973578121,0.5833333333333334,8/9,
S4 overnight delta,znaménko overnight delty -> RTH open->close,2046,-0.49352394916911047,-0.5769207237147307,0.5063538611925709,4/9,
S5 týdenní VWAP,close nad týdenním VWAP -> long 1 den,1204,0.41590531561461797,0.33397375261193163,0.5307308970099668,6/9,
S5 týdenní VWAP,close pod týdenním VWAP -> long 1 den (reverze),841,3.5115933412604043,1.8072482194318822,0.5481569560047562,8/9,
BENCHMARK,buy & hold 1 den (každý den),2045,1.688997555012225,1.5570969883697765,0.5378973105134475,7/9,
BENCHMARK,long open->close každý den,2046,0.19440371456500488,0.22729110474854763,0.5263929618768328,5/9,
