X,TP_ticky,SL_ticky,obchodu,TP %,break-even %,rozdíl %,b./obchod netto,t
10,40,40,3011,48.76155268022181,50.0,-1.2384473197781887,-0.6729491863168383,-3.8618807007150835
10,60,40,3011,38.019417475728154,40.0,-1.9805825242718456,-0.631683825971438,-3.0358663453142274
10,40,60,3011,59.72762645914397,60.0,-0.27237354085603016,-0.7161242112255065,-3.4185477864581126
10,80,40,3011,30.214661806399352,33.333333333333336,-3.1186715269339835,-0.6605778811026237,-2.825548329674849
10,120,40,3011,19.444444444444446,25.0,-5.555555555555554,-0.845566257057456,-3.1472375648821758
10,40,80,3011,67.07119741100324,66.66666666666667,0.40453074433656866,-0.855695782132182,-3.592305149494511
20,40,40,1957,47.295036252091464,50.0,-2.704963747908536,-0.9814767501277466,-4.506292743192802
20,60,40,1957,37.828371278458846,40.0,-2.171628721541154,-0.7414409810935104,-2.848044092168787
20,40,60,1957,58.64089045108377,60.0,-1.35910954891623,-1.0177567705671946,-3.8622053921798476
20,80,40,1957,29.66565349544073,33.333333333333336,-3.6676798378926065,-0.8763413387838528,-3.0028015836001267
20,120,40,1957,20.298313878080414,25.0,-4.701686121919586,-0.6032192130812468,-1.7553524796817126
20,40,80,1957,66.66666666666666,66.66666666666667,-1.4210854715202004e-14,-1.0716658150229943,-3.588077526164051
30,40,40,1296,48.69418702611626,50.0,-1.3058129738837394,-0.7125771604938271,-2.6610256430967882
30,60,40,1296,38.00705467372134,40.0,-1.992945326278658,-0.7044753086419753,-2.2020493711999514
30,40,60,1296,58.69373345101501,60.0,-1.3062665489849934,-0.9826388888888888,-3.033257573801876
30,80,40,1296,30.064161319890008,33.333333333333336,-3.2691720134433275,-0.8611111111111112,-2.402128838469706
30,120,40,1296,20.096618357487923,25.0,-4.903381642512077,-0.9515817901234568,-2.2695176486740545
30,40,80,1296,68.03738317757009,66.66666666666667,1.3707165109034207,-0.794945987654321,-2.189073975479921
40,40,40,854,52.918287937743195,50.0,2.9182879377431945,0.036885245901639344,0.11240403643819649
40,60,40,854,41.12021857923497,40.0,1.1202185792349724,-0.07757611241217799,-0.19636184631959894
40,40,60,854,63.661202185792355,60.0,3.661202185792355,0.10245901639344263,0.26426977572176824
40,80,40,854,31.631205673758867,33.333333333333336,-1.7021276595744688,-0.4212529274004684,-0.9469441106175717
40,120,40,854,20.489296636085626,25.0,-4.510703363914374,-0.6642271662763466,-1.2973663706472818
40,40,80,854,69.97206703910615,66.66666666666667,3.305400372439479,-0.040983606557377046,-0.09301432835287923
