X,směr,dní,vstupů,vstup % dní,TP,SL,konec seance,TP % (z TP+SL),TP % (ze všech),Ø konec seance b.,b./obchod,t,$ celkem (1 ES),PF
10,LONG open-X,2491,1488,59.735046166198316,485,809,194,37.480680061823804,32.594086021505376,3.454896907216495,-0.09727822580645161,-0.32587668858989016,-7237.5,0.9824300540146872
10,SHORT open+X,2491,1523,61.140104375752706,494,787,242,38.56362217017955,32.43598161523309,0.8605371900826446,-0.16529875246224557,-0.5696051846045083,-12587.5,0.969316554434931
10,OBA SMĚRY,2491,3011,60.437575270975515,979,1596,436,38.019417475728154,32.514114911989374,2.014908256880734,-0.13168382597143807,-0.6328711913339071,-19825.0,0.9758867620452161
15,LONG open-X,2491,1182,47.4508229626656,393,663,126,37.21590909090909,33.24873096446701,2.8511904761904763,-0.31789340101522845,-0.9418135461400952,-18787.5,0.9443807127261962
15,SHORT open+X,2491,1181,47.410678442392616,365,636,180,36.463536463536464,30.90601185436071,0.8625,-0.6179085520745131,-1.8865726293628637,-36487.5,0.8898698358800227
15,OBA SMĚRY,2491,2363,47.4307507025291,758,1299,306,36.84978123480797,32.07786711807025,1.6813725490196079,-0.46783749471011427,-1.9896518992010113,-55275.0,0.9173890300403527
20,LONG open-X,2491,996,39.983942191890804,352,553,91,38.89502762430939,35.34136546184739,3.2554945054945055,0.04643574297188755,0.12429902906840773,2312.5,1.0082269755858941
20,SHORT open+X,2491,961,38.578883982336414,296,512,153,36.633663366336634,30.801248699271593,1.053921568627451,-0.5398022892819979,-1.4908207658329513,-25937.5,0.9025775858021503
20,OBA SMĚRY,2491,1957,39.281413087113606,648,1065,244,37.828371278458846,33.11190597853858,1.875,-0.24144098109351048,-0.9274299335284301,-23625.0,0.9568355182021651
40,LONG open-X,2491,463,18.58691288639101,171,250,42,40.61757719714964,36.93304535637149,1.9702380952380953,0.31911447084233263,0.5806728357890257,7387.5,1.057980967330521
40,SHORT open+X,2491,391,15.69650742673625,130,181,80,41.80064308681672,33.248081841432224,0.9125,0.5447570332480819,0.9601908711131034,10650.0,1.1101771628087418
40,OBA SMĚRY,2491,854,17.14171015656363,301,431,122,41.12021857923497,35.24590163934426,1.276639344262295,0.422423887587822,1.069245827317665,18037.5,1.0804976012495817
