X,směr,dní,vstupů,vstup % dní,TP,SL,konec seance,TP % (z TP+SL),TP % (ze všech),Ø konec seance b.,b./obchod,t,$ celkem (1 ES),PF
10,LONG open-X,2491,1488,59.735046166198316,485,809,194,37.480680061823804,32.594086021505376,2.954896907216495,-0.5972782258064516,-2.0008490983368903,-44437.5,0.8975031714911775
10,SHORT open+X,2491,1523,61.140104375752706,494,787,242,38.56362217017955,32.43598161523309,0.3605371900826446,-0.6652987524622456,-2.29256188004178,-50662.5,0.8829255611080621
10,OBA SMĚRY,2491,3011,60.437575270975515,979,1596,436,38.019417475728154,32.514114911989374,1.514908256880734,-0.631683825971438,-3.0358663453142274,-95100.0,0.8902212025453443
15,LONG open-X,2491,1182,47.4508229626656,393,663,126,37.21590909090909,33.24873096446701,2.3511904761904763,-0.8178934010152284,-2.423149023901362,-48337.5,0.8640151914758941
15,SHORT open+X,2491,1181,47.410678442392616,365,636,180,36.463536463536464,30.90601185436071,0.3625,-1.1179085520745131,-3.4131517833728275,-66012.5,0.8110960080125912
15,OBA SMĚRY,2491,2363,47.4307507025291,758,1299,306,36.84978123480797,32.07786711807025,1.1813725490196079,-0.9678374947101143,-4.116086742173417,-114350.0,0.8377812849112478
20,LONG open-X,2491,996,39.983942191890804,352,553,91,38.89502762430939,35.34136546184739,2.7554945054945055,-0.4535642570281124,-1.2140991650087176,-22587.5,0.9236005411804499
20,SHORT open+X,2491,961,38.578883982336414,296,512,153,36.633663366336634,30.801248699271593,0.553921568627451,-1.039802289281998,-2.87171595230569,-49962.5,0.821975770532692
20,OBA SMĚRY,2491,1957,39.281413087113606,648,1065,244,37.828371278458846,33.11190597853858,1.375,-0.7414409810935104,-2.848044092168787,-72550.0,0.8741107062293945
40,LONG open-X,2491,463,18.58691288639101,171,250,42,40.61757719714964,36.93304535637149,1.4702380952380953,-0.1808855291576674,-0.3291461928753361,-4187.5,0.9687674808875629
40,SHORT open+X,2491,391,15.69650742673625,130,181,80,41.80064308681672,33.248081841432224,0.4125,0.04475703324808184,0.0788889213355836,875.0,1.0085710787314803
40,OBA SMĚRY,2491,854,17.14171015656363,301,431,122,41.12021857923497,35.24590163934426,0.7766393442622951,-0.07757611241217799,-0.19636184631959894,-3312.5,0.9859736410310697
