vystup,RRR,vstup,X,obchodu,TP,SL,EOD,b_obchod,t,usd,maxdd,kladne_roky,nahodny_long_usd,nad_nahodou_usd
eod,"1,5:1",momentum,10,1523,310,557,656,0.14166119500984897,0.2836488407209502,10787.5,-26362.5,7/11,35389.583333333336,-24602.083333333336
eod,"1,5:1",momentum,15,1181,243,425,513,0.6088060965283658,1.0751478375774082,35950.0,-18100.0,7/11,35389.583333333336,560.4166666666642
eod,"1,5:1",momentum,20,961,181,335,445,0.518990634755463,0.8428102364046478,24937.5,-22900.0,6/11,35389.583333333336,-10452.083333333336
eod,"1,5:1",momentum,30,626,123,209,294,0.5515175718849841,0.7319642343349055,17262.5,-21900.0,6/10,35389.583333333336,-18127.083333333336
eod,"1,5:1",momentum,40,391,70,135,186,-0.7410485933503836,-0.7933739465895776,-14487.5,-18612.5,5/10,35389.583333333336,-49877.083333333336
eod,"1,5:1",fade,10,1488,305,621,562,-0.7321908602150538,-1.421190380411543,-54475.0,-66762.5,3/11,35389.583333333336,-89864.58333333334
eod,"1,5:1",fade,15,1182,262,515,405,-0.7908206429780034,-1.3289787618433124,-46737.5,-52987.5,4/11,35389.583333333336,-82127.08333333334
eod,"1,5:1",fade,20,996,246,434,316,-0.030873493975903613,-0.04648227279214541,-1537.5,-41925.0,6/11,35389.583333333336,-36927.083333333336
eod,"1,5:1",fade,30,670,158,294,218,-0.8380597014925373,-1.0442711208736801,-28075.0,-39075.0,6/11,35389.583333333336,-63464.583333333336
eod,"1,5:1",fade,40,463,121,209,133,-0.34989200863930886,-0.35551036200135366,-8100.0,-39412.5,5/10,35389.583333333336,-43489.583333333336
eod,2:1,momentum,10,1523,170,577,776,0.013460275771503612,0.025310892763196854,1025.0,-24487.5,6/11,35552.916666666664,-34527.916666666664
eod,2:1,momentum,15,1181,137,441,603,0.5584250635055038,0.9218306482949127,32975.0,-22100.0,7/11,35552.916666666664,-2577.9166666666642
eod,2:1,momentum,20,961,117,346,498,0.7021331945889698,1.0532506779175173,33737.5,-18400.0,8/11,35552.916666666664,-1815.4166666666642
eod,2:1,momentum,30,626,72,220,334,0.21365814696485624,0.26590843932092445,6687.5,-19112.5,7/10,35552.916666666664,-28865.416666666664
