vstup,RRR,TP_b,SL_b,X,dni,obchodu,vstup_pct,TP,SL,EOD,TP_pct,breakeven,b_obchod,t,usd,maxdd,kladne_roky
momentum,2:1,40.0,20.0,10,2491,1523,61.140104375752706,170,577,776,22.757697456492636,33.333333333333336,0.013460275771503612,0.025310892763196854,1025.0,-24487.5,6/11
momentum,2:1,40.0,20.0,15,2491,1181,47.410678442392616,137,441,603,23.70242214532872,33.333333333333336,0.5584250635055038,0.9218306482949127,32975.0,-22100.0,7/11
momentum,2:1,40.0,20.0,20,2491,961,38.578883982336414,117,346,498,25.26997840172786,33.333333333333336,0.7021331945889698,1.0532506779175173,33737.5,-18400.0,8/11
momentum,2:1,40.0,20.0,30,2491,626,25.130469690887193,72,220,334,24.65753424657534,33.333333333333336,0.21365814696485624,0.26590843932092445,6687.5,-19112.5,7/10
momentum,2:1,40.0,20.0,40,2491,391,15.69650742673625,41,141,209,22.52747252747253,33.333333333333336,-1.1214833759590792,-1.1335492105697476,-21925.0,-24075.0,5/10
momentum,3:1,60.0,20.0,10,2491,1523,61.140104375752706,63,587,873,9.692307692307692,25.0,0.047767564018384764,0.08425362634672146,3637.5,-23762.5,4/11
momentum,3:1,60.0,20.0,15,2491,1181,47.410678442392616,51,452,678,10.139165009940358,25.0,0.4635901778154107,0.7188092055671358,27375.0,-23225.0,7/11
momentum,3:1,60.0,20.0,20,2491,961,38.578883982336414,45,358,558,11.166253101736972,25.0,0.4562955254942768,0.6428491872034482,21925.0,-18262.5,7/11
momentum,3:1,60.0,20.0,30,2491,626,25.130469690887193,29,224,373,11.462450592885375,25.0,0.3031150159744409,0.35103142735113296,9487.5,-26237.5,6/10
momentum,3:1,60.0,20.0,40,2491,391,15.69650742673625,18,142,231,11.25,25.0,-0.819693094629156,-0.7633711918271671,-16025.0,-19900.0,5/10
fade,2:1,40.0,20.0,10,2491,1488,59.735046166198316,212,643,633,24.795321637426902,33.333333333333336,-0.3817204301075269,-0.6754053744008999,-28400.0,-44637.5,4/11
fade,2:1,40.0,20.0,15,2491,1182,47.4508229626656,165,537,480,23.504273504273502,33.333333333333336,-0.9005922165820643,-1.4028357697803227,-53225.0,-56850.0,4/11
fade,2:1,40.0,20.0,20,2491,996,39.983942191890804,163,452,381,26.504065040650403,33.333333333333336,0.07906626506024096,0.109213034612075,3937.5,-44712.5,6/11
fade,2:1,40.0,20.0,30,2491,670,26.896828582898433,107,309,254,25.721153846153843,33.333333333333336,-0.9093283582089552,-1.0431094333108633,-30462.5,-43287.5,7/11
fade,2:1,40.0,20.0,40,2491,463,18.58691288639101,73,222,168,24.74576271186441,33.333333333333336,-1.0480561555075594,-0.9918137482352101,-24262.5,-50550.0,3/10
fade,3:1,60.0,20.0,10,2491,1488,59.735046166198316,83,669,736,11.037234042553191,25.0,-0.6698588709677419,-1.0967976505246042,-49837.5,-65125.0,4/11
fade,3:1,60.0,20.0,15,2491,1182,47.4508229626656,74,549,559,11.878009630818621,25.0,-0.6163282571912013,-0.8716780078625211,-36425.0,-48037.5,5/11
fade,3:1,60.0,20.0,20,2491,996,39.983942191890804,76,463,457,14.100185528756956,25.0,0.46059236947791166,0.5737352385898202,22937.5,-49575.0,7/11
fade,3:1,60.0,20.0,30,2491,670,26.896828582898433,55,319,296,14.705882352941178,25.0,-0.6152985074626866,-0.6328896939980531,-20612.5,-45562.5,6/11
fade,3:1,60.0,20.0,40,2491,463,18.58691288639101,34,230,199,12.878787878787879,25.0,-0.9946004319654428,-0.8509802359122071,-23025.0,-59987.5,3/10
