vstup,RRR,X,obchodu,TP,SL,otevreno,TP_pct,breakeven,prum_drzeni_h,median_drzeni_h,pres_noc_pct,b_obchod,t,usd,maxdd,kladne_roky
momentum,2:1,10,1226,439,787,0,35.807504078303424,33.333333333333336,28.57075575176727,4.3461204166666665,38.825448613376835,0.9704323001631321,1.1768089202645897,59487.5,-33575.0,7/11
momentum,2:1,15,1002,367,634,1,36.62674650698603,33.333333333333336,27.46757061488135,4.484044583333333,40.019960079840324,1.4256487025948104,1.5539398345846744,71425.0,-31800.0,8/11
momentum,2:1,20,837,306,531,0,36.55913978494624,33.333333333333336,25.439733252688175,4.555535,42.05495818399044,1.4387694145758663,1.4347547192736398,60212.5,-27287.5,8/11
momentum,2:1,30,584,209,375,0,35.78767123287671,33.333333333333336,21.91174852264079,5.156547777777778,42.12328767123288,0.964041095890411,0.8038476540875692,28150.0,-22525.0,5/10
momentum,2:1,40,374,124,250,0,33.155080213903744,33.333333333333336,19.499025605317883,4.741103472222222,40.909090909090914,-0.8028074866310161,-0.5401989574176542,-15012.5,-34850.0,4/10
momentum,3:1,10,1046,289,756,1,27.62906309751434,25.0,41.08658542861695,5.543055,42.734225621414915,1.5779158699808795,1.4237498039414527,82525.0,-33262.5,10/11
momentum,3:1,15,892,249,642,1,27.914798206278025,25.0,41.60937151189587,6.246916388888889,45.51569506726457,1.7438340807174888,1.4468553967581388,77775.0,-37150.0,7/11
momentum,3:1,20,778,209,569,0,26.86375321336761,25.0,37.85941081583833,8.75121,47.17223650385604,0.9016709511568124,0.7070149802457976,35075.0,-46750.0,7/11
momentum,3:1,30,554,142,412,0,25.63176895306859,25.0,32.470202455375045,10.603884722222222,49.81949458483754,-0.18231046931407943,-0.12195085564334407,-5050.0,-38525.0,5/10
momentum,3:1,40,365,92,273,0,25.205479452054796,25.0,28.76471160350076,10.566666666666666,50.136986301369866,-0.6390410958904109,-0.34743364315371816,-11662.5,-39900.0,5/10
fade,2:1,10,1182,412,770,0,34.85617597292725,33.333333333333336,25.487267700460613,3.1455752777777777,33.16412859560068,0.39488155668358715,0.4708100585800745,23337.5,-56075.0,7/11
fade,2:1,15,1013,351,662,0,34.64955577492596,33.333333333333336,22.758563900954258,3.1,33.267522211253706,0.22309970384995065,0.24662610782821484,11300.0,-46012.5,7/11
fade,2:1,20,890,308,582,0,34.60674157303371,33.333333333333336,19.828667105181022,2.5924755555555556,31.573033707865168,0.19775280898876405,0.20435019770942203,8800.0,-51812.5,7/11
fade,2:1,30,624,188,436,0,30.128205128205128,33.333333333333336,14.41943678774929,2.06472,28.205128205128204,-2.4110576923076925,-2.160060529615669,-75225.0,-84800.0,1/11
fade,2:1,40,445,137,308,0,30.786516853932582,33.333333333333336,12.322419585518102,1.8467772222222223,26.96629213483146,-2.148876404494382,-1.6234214015725763,-47812.5,-67450.0,3/10
fade,3:1,10,1053,284,769,0,26.970560303893638,25.0,36.43089999815342,4.367493055555555,39.69610636277303,0.9881291547958214,0.8992793494470764,52025.0,-59262.5,8/11
fade,3:1,15,904,240,664,0,26.548672566371685,25.0,36.325519792588494,4.213936944444445,39.60176991150443,0.6097898230088495,0.5163210178051586,27562.5,-41675.0,7/11
fade,3:1,20,822,222,600,0,27.00729927007299,25.0,33.331889408961885,4.217066388888889,39.29440389294404,0.9647201946472019,0.7725291169062289,39650.0,-53400.0,8/11
fade,3:1,30,594,136,458,0,22.895622895622896,25.0,22.25204888280958,2.889028472222222,34.84848484848485,-2.2504208754208754,-1.6188504889187552,-66837.5,-82437.5,2/11
fade,3:1,40,434,99,335,0,22.811059907834103,25.0,17.909488357014848,2.426658333333333,34.10138248847927,-2.3963133640552994,-1.479472472344488,-52000.0,-78037.5,3/10
