filtr,sablon,IS_kladne,OOS_kladne,prinos_IS,prinos_OOS,t_IS,t_OOS,oba_kladne
2+ dny poklesu v řadě,64,0.46875,0.65625,0.0006788094207648523,0.04647907627161725,-0.04345983063425744,0.36049998739024575,0.234375
3+ dny poklesu v řadě,16,0.4375,0.625,-0.008376507832739393,0.02713571598722332,-0.06376449644355715,0.280719633494365,0.25
"bez gapu (±0,2 ATR)",64,0.421875,0.734375,-0.02757239992312391,0.028006274955665097,-0.37015732422199776,0.2921700217264189,0.328125
"gap dolů < −0,2 ATR",64,0.625,0.65625,0.0018124505918034875,0.006921889671009664,0.39330497618364907,0.10904093601250786,0.390625
"gap nahoru > 0,2 ATR",64,0.5,0.171875,0.017950512265655527,-0.034069953731930364,0.005834550739699379,-0.46447189323091587,0.09375
minulý týden pokles,64,0.875,0.34375,0.047860752768001065,-0.018904131423624817,0.6838521765930037,-0.3169411560262254,0.296875
"nízká volatilita (ATR < 0,8× medián roku)",64,0.484375,0.5,-0.0016906918079008446,-0.0006291120015105133,-0.04661793081387074,-0.0085911723296759,0.25
open nad overnight 75 %,64,0.5,0.515625,-0.0002531871773461061,0.0017999602574069796,0.014051366690389158,0.05306169805548584,0.34375
open nad včerejším high,64,0.5,0.375,0.010007903425942603,-0.030935723321313856,-0.000983154628479116,-0.20288636191896792,0.203125
open pod overnight low+25 %,64,0.65625,0.578125,0.016052689247207767,-0.008734060721048612,0.23719334130845776,0.10138170750955225,0.34375
open pod včerejším low,64,0.84375,0.40625,0.07712228725000263,-0.0009039650340676498,0.6442814910077372,-0.1140068845394125,0.359375
"overnight rozpětí > 0,6 ATR",64,0.53125,0.5,0.00016256535281276082,-0.001494898218666178,0.02512064103477161,-0.017823464665215765,0.171875
pondělí,64,0.8125,0.78125,0.04712245543531931,0.0916080928938803,0.3683008883107652,1.0153842932922945,0.671875
pátek,64,0.53125,0.5,-0.003423881219468282,0.008291842288251567,0.029979610762099672,0.005412147465442389,0.3125
přelom měsíce (poslední + 3 první dny),64,0.328125,0.703125,-0.027677290917209264,0.02995568949424057,-0.6497780648481635,0.4440526896458591,0.203125
středa,64,0.3125,0.359375,-0.04016533943077328,-0.026087406759195984,-0.3594520391712798,-0.4686872161004385,0.0
"vysoká volatilita (ATR > 1,25× medián roku)",64,0.625,0.328125,0.012780757245316389,-0.02387907768641211,0.2658630873560852,-0.6402752691524644,0.09375
včera NR7,48,0.625,0.5416666666666666,0.04773865464969484,0.027967100280508594,0.4221211979444527,0.14493862094337812,0.5
včera close = 20denní maximum,64,0.515625,0.734375,0.0003330272125845696,0.031671576471530336,0.030556252748531097,0.3322065630297438,0.359375
včera close > 3 % pod 20d max,64,0.640625,0.203125,0.03910146946814564,-0.035998816842187954,0.2512018466002957,-0.291195862433388,0.15625
včera close v dolních 25 % rozpětí,64,0.71875,0.4375,0.040590873336138956,-0.009167919454115658,0.4962696999711177,-0.22368584849145923,0.359375
včera close v horních 25 % rozpětí,64,0.53125,0.53125,-0.007337692997316726,0.004226373186695322,0.07157463954015061,0.006561490660932754,0.28125
"včera close-close < −0,5 ATR",64,0.71875,0.484375,0.06007211315731357,0.008383739201435257,0.5343693521000688,-0.04013154846087401,0.484375
včera inside day,48,0.3333333333333333,0.3541666666666667,-0.08431266895622942,-0.037080450920368255,-0.21999736911436235,-0.8226712346966223,0.20833333333333334
včera pokles (C<O),64,0.703125,0.578125,0.011553940426173944,-0.002530900317568944,0.1866802580499594,0.10151568386159399,0.453125
včera růst (C>O),64,0.3125,0.40625,-0.006286016384089663,0.0009646209269435436,-0.15069410789888954,-0.16303938132878215,0.109375
"včera široký den > 1,5 ATR",64,0.453125,0.375,-0.003984970518897365,-0.015011375190338896,-0.08105281444013945,-0.3067606826506545,0.21875
úterý,64,0.296875,0.5,-0.03965266157649848,0.004825372427150097,-0.4738261604761592,0.00043406192864211407,0.1875
čtvrtek,64,0.765625,0.1875,0.03659832941110067,-0.054042179741426485,0.25314830799558197,-0.6787925909754344,0.140625
