,R_IS,t_IS,R_OOS,t_OOS,n
open | SL 0.25ATR | RRR 1:1 | 16:00,-0.0659496545750513,-2.4451794649701957,-0.039877423407258604,-1.3509695667312662,2477
open | SL 0.25ATR | RRR 1:1 | drží≤10d,-0.06668949525715315,-2.4474306449364382,-0.03909531091206064,-1.3135294197638947,2477
open | SL 0.25ATR | RRR 1.5:1 | 16:00,-0.06726123660550529,-2.0760183944772437,-0.027450350253478337,-0.7665989521610733,2477
open | SL 0.25ATR | RRR 1.5:1 | drží≤10d,-0.06709566091903538,-1.9961231064111715,-0.020870633415740848,-0.5699407968248359,2477
open | SL 0.25ATR | RRR 2:1 | 16:00,-0.049261373832780786,-1.3405128064689849,0.019317603384617146,0.471586048133278,2477
open | SL 0.25ATR | RRR 2:1 | drží≤10d,-0.05628356227176139,-1.4435174693303483,0.024842298344665524,0.5805645895523185,2477
open | SL 0.25ATR | RRR 3:1 | 16:00,-0.031051917786986873,-0.7359638509935215,-0.00347553916980619,-0.07544210312909776,2477
open | SL 0.25ATR | RRR 3:1 | drží≤10d,0.014843065673471528,0.30304898124319085,-0.025194718868339662,-0.4847788740890655,2477
open | SL 0.5ATR | RRR 1:1 | 16:00,-0.034462390305016605,-1.4472625245402366,0.004573102999912322,0.1715708039071977,2477
open | SL 0.5ATR | RRR 1:1 | drží≤10d,0.0016564373757407028,0.06070131685216358,0.012446703317009665,0.41604660924244,2477
open | SL 0.5ATR | RRR 1.5:1 | 16:00,-0.026262484720102085,-0.9819962666180072,-0.01652944083228689,-0.5618059803470637,2477
open | SL 0.5ATR | RRR 1.5:1 | drží≤10d,0.050122431485735565,1.4740623417894305,0.0021704940048724967,0.059075912718791944,2477
open | SL 0.5ATR | RRR 2:1 | 16:00,-0.01955307511455813,-0.6942255648186124,-0.00409535074123045,-0.13242126226048034,2477
open | SL 0.5ATR | RRR 2:1 | drží≤10d,0.06947428848300775,1.750142442947808,0.001654920479658678,0.039030278293991416,2477
open | SL 0.5ATR | RRR 3:1 | 16:00,-0.015147466138298375,-0.5160907491713871,0.01004580263121617,0.3113457733492686,2477
open | SL 0.5ATR | RRR 3:1 | drží≤10d,0.12790171464761663,2.579888032403584,0.009208450921512625,0.1772575037599253,2477
"open−0,25ATR | SL 0.25ATR | RRR 1:1 | 16:00",-0.07541289106949216,-2.256043056557014,-0.06346027938784213,-1.757208197230684,1597
"open−0,25ATR | SL 0.25ATR | RRR 1:1 | drží≤10d",-0.08151961923279437,-2.3769593798717765,-0.05400475039321424,-1.43964519555492,1597
"open−0,25ATR | SL 0.25ATR | RRR 1.5:1 | 16:00",-0.11174328115445728,-2.8239099178318376,-0.041414533990849704,-0.9592078575917119,1597
"open−0,25ATR | SL 0.25ATR | RRR 1.5:1 | drží≤10d",-0.10381079761294831,-2.4747850488777408,-0.03909960134172469,-0.8565306095385173,1597
"open−0,25ATR | SL 0.25ATR | RRR 2:1 | 16:00",-0.13008731282486244,-2.996401709948671,-0.03263843448457085,-0.6790731036676615,1597
"open−0,25ATR | SL 0.25ATR | RRR 2:1 | drží≤10d",-0.10469160013947208,-2.1660947759040927,-0.026904479390504596,-0.5106661312471789,1597
"open−0,25ATR | SL 0.25ATR | RRR 3:1 | 16:00",-0.135676253724922,-2.8217542359429575,-0.05108673607753763,-0.9547091916212082,1597
"open−0,25ATR | SL 0.25ATR | RRR 3:1 | drží≤10d",-0.04636786175347598,-0.7707284647548881,-0.04832466508349077,-0.7537636966312007,1597
"open−0,25ATR | SL 0.5ATR | RRR 1:1 | 16:00",-0.07024934828269418,-2.4305852154902214,-0.03482783945484543,-1.090499415919395,1597
"open−0,25ATR | SL 0.5ATR | RRR 1:1 | drží≤10d",-0.05461920977576144,-1.590833631777058,-0.05162273880715095,-1.3963221534857273,1597
"open−0,25ATR | SL 0.5ATR | RRR 1.5:1 | 16:00",-0.0732712637809832,-2.3153451197732333,-0.03978087301144956,-1.1313552564913043,1597
"open−0,25ATR | SL 0.5ATR | RRR 1.5:1 | drží≤10d",-0.012955011633360582,-0.3075769607968705,-0.04628986021914513,-1.0269515660068016,1597
"open−0,25ATR | SL 0.5ATR | RRR 2:1 | 16:00",-0.07158170021828804,-2.1423313890001876,-0.0380801561580569,-1.0342423943995374,1597
"open−0,25ATR | SL 0.5ATR | RRR 2:1 | drží≤10d",0.025926793506105515,0.5256054545325904,-0.02347743471501664,-0.45052664910799095,1597
"open−0,25ATR | SL 0.5ATR | RRR 3:1 | 16:00",-0.06691534266508421,-1.9176612528874155,-0.026683926121701312,-0.6966712485845299,1597
"open−0,25ATR | SL 0.5ATR | RRR 3:1 | drží≤10d",0.014331413352711243,0.23763918107892254,0.04593537314824531,0.703103217863209,1597
"open−0,5ATR | SL 0.25ATR | RRR 1:1 | 16:00",-0.13541156369807195,-3.2028101057919605,-0.06580548488306201,-1.4577672479286778,997
"open−0,5ATR | SL 0.25ATR | RRR 1:1 | drží≤10d",-0.15000195468022604,-3.449463924261032,-0.054527981236502265,-1.1734017004640513,997
"open−0,5ATR | SL 0.25ATR | RRR 1.5:1 | 16:00",-0.1405436326094019,-2.8120805579777115,-0.09022368422062031,-1.6871361392701998,997
"open−0,5ATR | SL 0.25ATR | RRR 1.5:1 | drží≤10d",-0.1465334863956396,-2.736424145233466,-0.11669810131387252,-2.080388098195995,997
"open−0,5ATR | SL 0.25ATR | RRR 2:1 | 16:00",-0.1312207776660932,-2.3710324649930223,-0.10806029746374202,-1.8291028633145991,997
"open−0,5ATR | SL 0.25ATR | RRR 2:1 | drží≤10d",-0.14434718513855166,-2.354921638595772,-0.13417855166247036,-2.0938899430809728,997
"open−0,5ATR | SL 0.25ATR | RRR 3:1 | 16:00",-0.11663509764165862,-1.859683544988852,-0.06291326627525538,-0.9193506513326891,997
"open−0,5ATR | SL 0.25ATR | RRR 3:1 | drží≤10d",-0.11665795380262324,-1.554473199999108,-0.12709727087429246,-1.6260960613421858,997
"open−0,5ATR | SL 0.5ATR | RRR 1:1 | 16:00",-0.06420387263121993,-1.7209955973694626,-0.05252526430726266,-1.3543195185833614,997
"open−0,5ATR | SL 0.5ATR | RRR 1:1 | drží≤10d",-0.06882231297747056,-1.577438466692646,-0.05785754515116192,-1.245162740003026,997
"open−0,5ATR | SL 0.5ATR | RRR 1.5:1 | 16:00",-0.04643908974232753,-1.1151016867916412,-0.03815635769959778,-0.8748676444782921,997
"open−0,5ATR | SL 0.5ATR | RRR 1.5:1 | drží≤10d",-0.011537051124067069,-0.21496827710305055,-0.10630996524623894,-1.8916801960404444,997
"open−0,5ATR | SL 0.5ATR | RRR 2:1 | 16:00",-0.03962525050680824,-0.8988758098968267,-0.0485313693207376,-1.0692060105703496,997
"open−0,5ATR | SL 0.5ATR | RRR 2:1 | drží≤10d",-0.004160235784426001,-0.06700720051886669,-0.10911363513913394,-1.6937259795064297,997
"open−0,5ATR | SL 0.5ATR | RRR 3:1 | 16:00",-0.04979077447666405,-1.0973903810589867,-0.04159571824742768,-0.8732009194761153,997
"open−0,5ATR | SL 0.5ATR | RRR 3:1 | drží≤10d",0.025014251540352903,0.3255035298917378,-0.12441341352210047,-1.6021819944676279,997
"open+0,25ATR | SL 0.25ATR | RRR 1:1 | 16:00",-0.09161980767568177,-2.8663676155277917,0.014233398853737344,0.4026812979222296,1640
"open+0,25ATR | SL 0.25ATR | RRR 1:1 | drží≤10d",-0.08752170861687274,-2.6071378087619514,0.020650601906322823,0.5599629026169561,1640
"open+0,25ATR | SL 0.25ATR | RRR 1.5:1 | 16:00",-0.08682750174666987,-2.2979312753393755,0.011805602439123692,0.2786365708392737,1640
"open+0,25ATR | SL 0.25ATR | RRR 1.5:1 | drží≤10d",-0.07427372324252829,-1.804572203347011,-0.0005545151977089717,-0.012234828363761347,1640
"open+0,25ATR | SL 0.25ATR | RRR 2:1 | 16:00",-0.05203345762862078,-1.2300247162410451,0.003895545700741257,0.08311050081058843,1640
"open+0,25ATR | SL 0.25ATR | RRR 2:1 | drží≤10d",-0.020204418248625303,-0.4193474936443268,0.012764364446025247,0.24231962556473347,1640
"open+0,25ATR | SL 0.25ATR | RRR 3:1 | 16:00",-0.029663911708059185,-0.6254741968746554,0.02699636896640733,0.5138295043407193,1640
"open+0,25ATR | SL 0.25ATR | RRR 3:1 | drží≤10d",0.025154392993913324,0.4183774613492982,0.011540991884956064,0.17796937748808006,1640
"open+0,25ATR | SL 0.5ATR | RRR 1:1 | 16:00",-0.015958232780375097,-0.5911135378467016,-0.0007549150212500987,-0.025149913984771902,1640
"open+0,25ATR | SL 0.5ATR | RRR 1:1 | drží≤10d",0.03047063244997238,0.9064161282772434,-0.00923054703926903,-0.2499612978842061,1640
"open+0,25ATR | SL 0.5ATR | RRR 1.5:1 | 16:00",-0.012161575091400393,-0.41068016808358004,0.016682991745062683,0.5045230270033527,1640
"open+0,25ATR | SL 0.5ATR | RRR 1.5:1 | drží≤10d",0.057019019765946984,1.3646530394560763,-0.004467884487742331,-0.09883280335614397,1640
