sablona,filtr,n_IS,R_IS,prinos_IS,t_IS,n_OOS,R_OOS,prinos_OOS,t_OOS,t_abs_OOS
open | SL 0.25ATR | RRR 1:1 | 16:00,"gap nahoru > 0,2 ATR",557,-0.02909451746178618,0.036855137113265116,0.8786812173232513,388,-0.03797720902174482,0.0019002143855137849,0.03747438938303959,-0.748953765118007
open | SL 0.25ATR | RRR 1:1 | 16:00,"gap dolů < −0,2 ATR",364,0.019340651999523936,0.08529030657457523,1.643984177991865,327,-0.021149888279249456,0.01872753512800915,0.33933406767222535,-0.3832259596126459
open | SL 0.25ATR | RRR 1:1 | 16:00,"bez gapu (±0,2 ATR)",427,-0.18673181608613812,-0.12078216151108682,-2.5417026919703574,414,-0.05645033927305173,-0.016572915865793125,-0.34324774431592764,-1.1691636992701608
open | SL 0.25ATR | RRR 1:1 | 16:00,včera růst (C>O),738,-0.05776677709576831,0.008182877479282986,0.22506593949001347,599,-0.039984657507183545,-0.00010723409992494104,-0.0026541298785793706,-0.9896523050863583
open | SL 0.25ATR | RRR 1:1 | 16:00,včera pokles (C<O),597,-0.08015252583059614,-0.014202871255544841,-0.3490499209302422,524,-0.03591236803646115,0.003965055370797457,0.09111802854653844,-0.8252757830370321
open | SL 0.25ATR | RRR 1:1 | 16:00,"včera close-close < −0,5 ATR",263,-0.07805503260371902,-0.012105378028667721,-0.19713342815788065,255,-0.0526178262257192,-0.012740402818460596,-0.20350633425705003,-0.8404805628480454
open | SL 0.25ATR | RRR 1:1 | 16:00,2+ dny poklesu v řadě,241,-0.022566693972354532,0.043382960602696766,0.6760498926363886,251,-0.03858656306543745,0.0012908603418211526,0.020529119685561974,-0.6136590812816233
open | SL 0.25ATR | RRR 1:1 | 16:00,3+ dny poklesu v řadě,96,-0.06245971036011886,0.0034899442149324347,0.03408179357482426,114,-0.06859615945518628,-0.028718736047927677,-0.30660559801663123,-0.7323430410134374
open | SL 0.25ATR | RRR 1:1 | 16:00,včera close v dolních 25 % rozpětí,255,-0.1632878175521096,-0.09733816297705832,-1.571808654261707,260,-0.09074058337704463,-0.05086315996978603,-0.8200268115195178,-1.4629392138887967
open | SL 0.25ATR | RRR 1:1 | 16:00,včera close v horních 25 % rozpětí,456,-0.055619149121665934,0.01033050545338536,0.22347235374681193,405,-0.039279439815961055,0.000597983591297549,0.012191664204383912,-0.8008275600562745
open | SL 0.25ATR | RRR 1:1 | 16:00,včera inside day,146,-0.06511808056798989,0.0008315740070614086,0.010048703135196102,98,-0.2120740047552909,-0.17219658134803228,-1.730582082287425,-2.131351678850496
