logika,k_ATR,RRR,smer,obchodu,TP_pct,breakeven,edge_pp,R_obchod,t,usd
momentum,0.25,1:1,LONG,1659,49.73190348525469,50.0,-0.2680965147453094,-0.06586020682563917,-2.787828546872976,-787.5
momentum,0.25,1:1,SHORT,1611,48.91803278688525,50.0,-1.0819672131147513,-0.09069583623242447,-3.7162394903408806,-59337.5
momentum,0.25,1:1,OBA,3270,49.320517069937026,50.0,-0.6794829300629743,-0.07809574168017466,-4.600432309294034,-60125.0
momentum,0.25,"1:1,5",LONG,1659,59.064702114029465,60.00000000000001,-0.9352978859705416,-0.08823154270848527,-4.47637283624611,-30812.5
momentum,0.25,"1:1,5",SHORT,1611,58.87251761691223,60.00000000000001,-1.1274823830877736,-0.08911672912624101,-4.406230191993311,-57225.0
momentum,0.25,"1:1,5",OBA,3270,58.96860986547085,60.00000000000001,-1.031390134529154,-0.08866763913631538,-6.281987911155024,-88037.5
momentum,0.25,2:1,LONG,1659,29.361370716510905,33.333333333333336,-3.971962616822431,-0.05225577635605992,-1.680767664930216,-12850.0
momentum,0.25,2:1,SHORT,1611,32.147937411095306,33.333333333333336,-1.1853959222380297,-0.06959682176020561,-2.099995761778449,-43500.0
momentum,0.25,2:1,OBA,3270,30.817843866171003,33.333333333333336,-2.5154894671623325,-0.06079902533039592,-2.678471709127849,-56350.0
momentum,0.25,3:1,LONG,1659,16.053811659192828,25.0,-8.946188340807172,-0.02963400091659165,-0.8504731250106565,-237.5
momentum,0.25,3:1,SHORT,1611,21.27825409197194,25.0,-3.7217459080280584,-0.06140047788963196,-1.5969482390774057,-21825.0
momentum,0.25,3:1,OBA,3270,18.84904086738949,25.0,-6.1509591326105095,-0.045284090948263814,-1.7479382856110135,-22062.5
momentum,0.5,1:1,LONG,990,52.30961298377028,50.0,2.309612983770279,-0.023344854741929006,-0.8019996807069595,-23500.0
momentum,0.5,1:1,SHORT,1009,50.263991552270326,50.0,0.2639915522703262,-0.06849740083256016,-2.222871753218989,-24900.0
momentum,0.5,1:1,OBA,1999,51.20137299771167,50.0,1.2013729977116725,-0.04613570967211752,-2.175417658242686,-48400.0
momentum,0.5,"1:1,5",LONG,990,62.8175519630485,60.00000000000001,2.817551963048494,-0.03644961306681482,-1.4962898065084023,-16862.5
momentum,0.5,"1:1,5",SHORT,1009,59.93788819875776,60.00000000000001,-0.06211180124224569,-0.07741629979673378,-3.04102578108098,-33237.5
momentum,0.5,"1:1,5",OBA,1999,61.29912663755459,60.00000000000001,1.2991266375545862,-0.057127645538294684,-3.240905629063759,-50100.0
momentum,0.5,2:1,LONG,990,30.218068535825545,33.333333333333336,-3.115264797507791,0.0035278236080193374,0.09370159533220736,-13737.5
momentum,0.5,2:1,SHORT,1009,31.343283582089555,33.333333333333336,-1.990049751243781,-0.08113722596624219,-1.9498236275899132,-27387.5
momentum,0.5,2:1,OBA,1999,30.865829477858558,33.333333333333336,-2.467503855474778,-0.03920706134467194,-1.3955066885435792,-41125.0
momentum,0.5,3:1,LONG,990,16.455696202531644,25.0,-8.544303797468356,0.021213620556848764,0.5050361519984305,-5987.5
momentum,0.5,3:1,SHORT,1009,19.469026548672566,25.0,-5.530973451327434,-0.12054849647470477,-2.573830911469905,-35300.0
momentum,0.5,3:1,OBA,1999,18.229166666666664,25.0,-6.770833333333336,-0.05034114486828256,-1.5970103195186782,-41287.5
momentum,0.75,1:1,LONG,515,55.09138381201044,50.0,5.0913838120104415,0.0002140822348950815,0.005467500237949699,-2037.5
momentum,0.75,1:1,SHORT,630,49.56521739130435,50.0,-0.4347826086956488,-0.07412179547433656,-1.9276260256858373,-14200.0
momentum,0.75,1:1,OBA,1145,51.774530271398746,50.0,1.7745302713987456,-0.04068688104616686,-1.47749056153403,-16237.5
momentum,0.75,"1:1,5",LONG,515,65.55819477434679,60.00000000000001,5.558194774346781,-0.020251927981807877,-0.6219478387196394,-6162.5
momentum,0.75,"1:1,5",SHORT,630,61.44781144781145,60.00000000000001,1.4478114478114463,-0.047434219517591907,-1.4973834066179266,-9800.0
momentum,0.75,"1:1,5",OBA,1145,63.15270935960591,60.00000000000001,3.1527093596059004,-0.03520812332464101,-1.546935559921048,-15962.5
momentum,0.75,2:1,LONG,515,33.22147651006711,33.333333333333336,-0.1118568232662227,0.050100499708454614,0.9812611987881108,7300.0
momentum,0.75,2:1,SHORT,630,30.113636363636363,33.333333333333336,-3.2196969696969724,-0.11404830646722981,-2.220464552559739,-17362.5
