mesic,dni,rng_prumer,rng_median,rng_nad_dni,rng_nad_prumer,rng_pod_dni,rng_pod_prumer,ol_prumer,ol_median,ol_nad_dni,ol_nad_prumer,ol_pod_dni,ol_pod_prumer,ho_prumer,ho_median,ho_nad_dni,ho_nad_prumer,ho_pod_dni,ho_pod_prumer
2016-07,8,13.69,14.12,5,14.95,3,11.58,8.03,6.88,3,12.92,5,5.1,5.66,6.25,5,8.1,3,1.58
2016-08,23,11.88,10.5,10,15.98,13,8.73,6.74,4.75,9,12.39,14,3.11,5.14,4.75,11,7.84,12,2.67
2016-09,21,19.62,17.75,9,28.86,12,12.69,10.25,8.25,8,17.84,13,5.58,9.37,4.5,7,20.86,14,3.62
2016-10,21,14.81,13.5,8,21.28,13,10.83,9.48,8.0,8,16.34,13,5.25,5.33,5.5,11,8.34,10,2.02
2016-11,20,17.81,15.12,7,27.82,13,12.42,8.4,6.62,6,18.54,14,4.05,9.41,6.75,8,17.47,12,4.04
2016-12,21,14.17,12.25,7,22.46,14,10.02,6.87,4.25,6,16.58,15,2.98,7.3,6.0,8,13.75,13,3.33
2017-01,20,13.29,13.62,10,17.05,10,9.52,7.21,6.5,7,12.54,13,4.35,6.08,5.62,10,9.4,10,2.75
2017-02,19,12.05,11.5,9,14.61,10,9.75,4.24,3.25,5,10.45,14,2.02,7.82,7.75,8,12.31,11,4.55
2017-03,23,15.51,12.75,8,23.47,15,11.27,8.01,6.0,8,15.34,15,4.1,7.5,5.5,8,15.66,15,3.15
2017-04,19,15.39,14.25,9,19.69,10,11.52,8.34,6.75,8,13.47,11,4.61,7.05,7.75,10,11.0,9,2.67
2017-05,22,11.3,10.25,7,17.32,15,8.48,5.94,4.75,8,11.22,14,2.93,5.35,4.25,6,11.92,16,2.89
2017-06,22,14.53,12.5,7,22.07,15,11.02,8.77,6.5,7,18.04,15,4.45,5.76,5.38,8,10.34,14,3.14
2017-07,19,11.12,9.75,6,16.75,13,8.52,6.17,5.0,7,12.07,12,2.73,4.95,4.25,7,9.39,12,2.35
2017-08,23,14.47,12.5,8,22.31,15,10.28,7.38,6.5,7,15.54,16,3.81,7.09,5.25,11,12.43,12,2.19
2017-09,20,10.15,8.25,7,15.18,13,7.44,5.39,2.88,8,10.69,12,1.85,4.76,5.0,11,6.7,9,2.39
2017-10,22,9.8,8.38,8,14.69,14,7.0,5.12,4.0,6,10.88,16,2.97,4.67,3.62,9,8.11,13,2.29
2017-11,20,13.12,13.12,10,17.12,10,9.12,5.3,4.25,7,10.5,13,2.5,7.82,5.75,6,15.21,14,4.66
2017-12,20,14.28,10.88,9,21.5,11,8.36,9.02,4.75,7,20.29,13,2.96,5.25,5.38,10,8.5,10,2.0
2018-01,21,19.61,17.25,8,27.44,13,14.79,8.57,5.75,7,18.5,14,3.61,11.04,9.0,6,20.0,15,7.45
2018-02,19,56.54,49.0,5,103.0,14,39.95,30.08,15.0,6,70.33,13,11.5,26.46,23.75,9,41.06,10,13.32
2018-03,21,41.38,40.75,10,58.75,11,25.59,24.31,14.25,8,48.31,13,9.54,17.07,9.75,9,31.81,12,6.02
2018-04,21,37.27,31.25,6,65.5,15,25.98,21.75,15.0,6,49.29,15,10.73,15.52,11.75,8,29.62,13,6.85
2018-05,22,24.12,22.0,9,33.25,13,17.81,11.1,8.0,9,20.39,13,4.67,13.02,10.38,6,27.12,16,7.73
2018-06,21,20.56,17.75,8,30.41,13,14.5,11.24,8.5,7,21.93,14,5.89,9.32,8.5,10,15.4,11,3.8
2018-07,20,18.54,16.0,8,26.97,12,12.92,7.15,4.75,6,15.88,14,3.41,11.39,9.25,7,20.82,13,6.31
2018-08,23,16.11,15.75,11,20.84,12,11.77,6.12,4.25,6,14.46,17,3.18,9.99,10.0,12,14.52,11,5.05
2018-09,19,16.49,15.5,8,21.66,11,12.73,8.37,8.75,11,12.89,8,2.16,8.12,7.25,7,16.21,12,3.4
2018-10,23,47.49,40.75,10,70.65,13,29.67,31.12,23.25,9,58.94,14,13.23,16.37,12.5,8,33.28,15,7.35
2018-11,20,38.81,34.5,9,52.75,11,27.41,19.65,11.88,6,43.67,14,9.36,19.16,18.38,9,30.17,11,10.16
2018-12,18,67.19,68.0,9,91.22,9,43.17,43.5,37.75,8,61.56,10,29.05,23.69,16.38,5,56.05,13,11.25
2019-01,21,32.98,31.5,10,44.25,11,22.73,12.65,8.75,7,27.39,14,5.29,20.32,13.75,9,35.97,12,8.58
2019-02,19,19.36,17.5,8,25.16,11,15.14,7.93,7.75,9,12.44,10,3.88,11.42,11.0,7,17.71,12,7.75
2019-03,21,26.49,23.0,9,37.08,12,18.54,14.89,12.5,8,28.34,13,6.62,11.6,9.0,8,21.47,13,5.52
2019-04,21,16.24,14.75,8,21.84,13,12.79,9.43,8.75,10,14.35,11,4.95,6.81,6.25,9,11.86,12,3.02
2019-05,22,31.95,32.25,11,41.68,11,22.23,14.91,11.62,10,27.08,12,4.77,17.05,12.0,8,31.81,14,8.61
2019-06,20,22.68,20.62,9,31.36,11,15.57,11.15,7.62,6,23.38,14,5.91,11.52,7.25,7,21.71,13,6.04
2019-07,21,20.57,18.5,7,30.93,14,15.39,12.62,9.5,6,27.88,15,6.52,7.95,8.25,11,13.7,10,1.62
2019-08,22,41.7,36.12,7,66.25,15,30.25,24.97,24.62,11,38.73,11,11.2,16.74,8.12,8,35.16,14,6.21
2019-09,20,23.96,21.38,7,35.07,13,17.98,14.41,9.88,7,28.43,13,6.87,9.55,8.88,9,15.19,11,4.93
2019-10,23,26.05,24.25,8,40.38,15,18.42,12.74,7.25,9,26.67,14,3.79,13.32,9.5,8,25.41,15,6.87
2019-11,19,15.59,14.75,7,19.46,12,13.33,7.8,7.5,8,12.84,11,4.14,7.79,8.75,11,11.27,8,3.0
2019-12,20,17.46,15.0,8,25.88,12,11.85,8.31,5.0,7,17.96,13,3.12,9.15,8.0,9,16.0,11,3.55
2020-01,21,26.04,23.0,6,43.62,15,19.0,11.8,6.5,5,33.45,16,5.03,14.24,12.5,8,25.75,13,7.15
2020-02,19,43.89,25.75,6,90.46,13,22.4,24.04,13.25,6,56.88,13,8.88,19.86,9.0,7,40.29,12,7.94
2020-03,22,139.34,143.38,11,177.05,11,101.64,70.94,59.5,10,114.18,12,34.92,68.4,72.75,13,92.79,9,33.17
2020-04,21,61.07,52.75,6,90.62,15,49.25,29.63,22.75,8,51.78,13,16.0,31.44,30.0,10,49.2,11,15.3
2020-05,20,47.49,44.5,6,70.33,14,37.7,26.28,24.12,8,46.56,12,12.75,21.21,19.62,9,33.56,11,11.11
2020-06,22,57.33,42.62,10,83.78,12,35.29,33.23,19.5,6,84.58,16,13.97,24.1,19.88,9,44.42,13,10.04
2020-07,22,41.56,37.38,10,56.5,12,29.1,22.07,18.25,8,40.5,14,11.54,19.49,16.25,9,32.42,13,10.54
2020-08,21,26.06,24.5,8,35.31,13,20.37,11.2,7.75,8,21.28,13,5.0,14.86,12.5,7,25.93,14,9.32
2020-09,21,63.02,54.75,7,97.71,14,45.68,38.55,24.25,7,83.82,14,15.91,24.48,17.0,8,45.62,13,11.46
2020-10,22,47.92,44.62,10,65.28,12,33.46,25.81,19.25,9,48.69,13,9.96,22.11,18.12,10,37.48,12,9.31
2020-11,19,45.32,40.5,8,61.06,11,33.86,24.8,16.5,7,44.5,12,13.31,20.51,17.25,7,38.18,12,10.21
2020-12,21,31.62,29.25,9,42.94,12,23.12,16.19,9.75,7,32.57,14,8.0,15.43,13.5,9,25.97,12,7.52
2021-01,19,47.55,40.25,6,79.88,13,32.63,26.78,16.0,6,63.5,13,9.83,20.78,11.0,7,42.68,12,8.0
2021-02,19,44.12,35.25,6,75.04,13,29.85,23.64,18.25,7,47.14,12,9.94,20.47,14.5,8,36.22,11,9.02
2021-03,23,51.7,46.75,9,72.72,14,38.18,24.61,20.5,9,46.22,14,10.71,27.09,23.75,10,40.62,13,16.67
2021-04,21,29.31,25.25,9,41.81,12,19.94,12.35,6.75,8,26.03,13,3.92,16.96,11.0,7,34.14,14,8.38
2021-05,20,39.91,40.5,10,53.22,10,26.6,21.19,18.75,9,36.08,11,9.0,18.73,11.75,8,37.59,12,6.15
2021-06,22,25.89,21.38,9,38.22,13,17.35,14.93,13.5,8,26.38,14,8.39,10.95,8.25,8,22.12,14,4.57
2021-07,21,33.11,30.0,8,46.19,13,25.06,15.51,9.0,8,32.75,13,4.9,17.6,17.0,10,28.72,11,7.48
2021-08,22,27.8,25.0,9,43.14,13,17.17,12.1,8.5,7,26.04,15,5.6,15.69,10.75,10,27.55,12,5.81
2021-09,21,43.63,44.0,11,57.98,10,27.85,28.55,20.0,9,51.22,12,11.54,15.08,10.25,8,29.16,13,6.42
2021-10,21,41.95,35.25,7,64.25,14,30.8,17.13,15.75,10,29.8,11,5.61,24.82,18.75,9,40.5,12,13.06
