X,kill,smer,SL,TPb,n,tp,sl,win,usd,ptt,t,dd,streak
10,No,long,2.0,3.0,1404,37.179,62.821,37.179,-45000.0,-0.641,-9.936,-45250.0,15
10,No,long,3.0,4.5,1404,40.741,59.259,40.741,-31200.0,-0.444,-4.517,-33175.0,15
10,No,long,5.0,7.5,1404,42.735,57.265,42.735,-11600.0,-0.165,-0.992,-19550.0,13
10,No,long,7.5,11.25,1401,43.255,56.745,43.255,7125.0,0.102,0.408,-16812.5,12
10,No,long,10.0,15.0,1390,44.82,55.18,44.82,48287.5,0.695,2.079,-21100.0,14
10,No,long,15.0,22.5,1345,43.792,56.208,43.792,62287.5,0.926,1.817,-19100.0,10
10,No,long,20.0,30.0,1276,42.476,57.524,42.476,47687.5,0.747,1.075,-35462.5,10
10,No,long,30.0,45.0,1058,41.399,58.601,41.399,28425.0,0.537,0.472,-53150.0,13
10,No,short,2.0,3.0,1396,36.103,63.897,36.103,-48500.0,-0.695,-10.807,-48375.0,15
10,No,short,3.0,4.5,1396,37.751,62.249,37.751,-46700.0,-0.669,-6.873,-47475.0,15
10,No,short,5.0,7.5,1396,38.252,61.748,38.252,-50150.0,-0.718,-4.417,-50300.0,15
10,No,short,7.5,11.25,1394,38.666,61.334,38.666,-52287.5,-0.75,-3.066,-54225.0,11
10,No,short,10.0,15.0,1386,38.456,61.544,38.456,-62612.5,-0.903,-2.76,-66137.5,10
10,No,short,15.0,22.5,1352,38.905,61.095,38.905,-60575.0,-0.896,-1.795,-86287.5,8
10,No,short,20.0,30.0,1265,39.289,60.711,39.289,-49600.0,-0.784,-1.128,-79600.0,10
10,No,short,30.0,45.0,1066,39.4,60.6,39.4,-48675.0,-0.913,-0.807,-81050.0,13
10,Yes,long,2.0,3.0,1404,36.966,62.821,36.966,-45437.5,-0.647,-10.051,-45387.5,15
10,Yes,long,3.0,4.5,1404,39.886,58.903,40.313,-32687.5,-0.466,-4.764,-33575.0,15
10,Yes,long,5.0,7.5,1404,40.242,55.342,42.593,-14762.5,-0.21,-1.301,-22275.0,13
10,Yes,long,7.5,11.25,1404,38.034,52.35,43.162,-2250.0,-0.032,-0.135,-17162.5,12
10,Yes,long,10.0,15.0,1404,35.684,48.789,44.872,23575.0,0.336,1.09,-20762.5,12
10,Yes,long,15.0,22.5,1404,27.707,42.735,46.652,35787.5,0.51,1.188,-22662.5,10
10,Yes,long,20.0,30.0,1404,20.655,37.037,47.721,22437.5,0.32,0.609,-27625.0,9
10,Yes,long,30.0,45.0,1404,9.9,27.564,49.288,-22887.5,-0.326,-0.498,-52387.5,13
10,Yes,short,2.0,3.0,1396,36.103,63.897,36.103,-48500.0,-0.695,-10.807,-48375.0,15
