ets,xts,entry,exit,why,pnl
2016-09-12 10:20:43,2016-09-22 09:22:40,2889.0,2929.0,T,1975.0
2016-09-27 12:25:09,2016-10-11 11:29:27,2914.5,2894.5,S,-1025.0
2016-11-07 13:47:48,2016-11-08 21:05:28,2886.5,2866.5,S,-1025.0
2016-11-09 09:32:14,2016-11-10 03:12:54,2896.0,2936.0,T,1975.0
2016-12-07 13:19:49,2016-12-11 18:00:00,2986.5,3026.5,T,1975.0
2016-12-15 11:04:00,2016-12-28 14:08:02,3033.25,3013.25,S,-1025.0
2017-01-24 14:58:01,2017-02-13 08:21:00,3046.0,3086.0,T,1975.0
2017-03-01 12:04:00,2017-03-02 22:28:35,3164.25,3144.25,S,-1025.0
2017-03-27 12:01:00,2017-04-24 06:11:04,3106.25,3146.25,T,1975.0
2017-05-18 14:02:00,2017-05-24 21:28:00,3140.75,3180.75,T,1975.0
2017-08-22 13:02:00,2017-08-28 16:30:00,3220.75,3200.75,S,-1025.0
2017-08-29 12:45:00,2017-09-11 10:04:01,3215.75,3255.75,T,1975.0
2017-11-16 14:09:00,2017-11-19 20:54:04,3363.25,3343.25,S,-1025.0
2017-11-28 14:43:00,2017-12-03 18:00:00,3395.0,3435.0,T,1975.0
2017-12-15 14:17:00,2018-01-04 09:35:00,3453.5,3493.5,T,1975.0
2018-01-12 14:19:00,2018-01-22 12:25:00,3557.75,3597.75,T,1975.0
2018-01-22 14:24:00,2018-01-26 15:04:00,3596.0,3636.0,T,1975.0
2018-02-01 11:40:00,2018-02-01 20:39:00,3603.5,3583.5,S,-1025.0
2018-02-05 10:13:00,2018-02-05 12:21:00,3526.0,3506.0,S,-1025.0
2018-02-06 09:33:00,2018-02-06 09:50:00,3392.5,3432.5,T,1975.0
2018-02-07 09:39:00,2018-02-07 14:49:00,3476.75,3456.75,S,-1025.0
2018-02-12 12:12:00,2018-02-13 03:26:00,3430.0,3410.0,S,-1025.0
2018-02-13 13:19:00,2018-02-14 08:31:00,3429.5,3409.5,S,-1025.0
2018-02-14 09:52:00,2018-02-14 15:15:00,3432.0,3472.0,T,1975.0
2018-02-16 10:30:00,2018-02-20 04:33:01,3510.5,3490.5,S,-1025.0
2018-02-20 11:55:00,2018-02-20 15:05:00,3507.25,3487.25,S,-1025.0
2018-02-21 11:25:00,2018-02-21 15:09:00,3506.0,3486.0,S,-1025.0
2018-02-22 11:25:00,2018-02-22 13:47:00,3498.0,3478.0,S,-1025.0
2018-02-23 14:47:00,2018-02-26 13:28:00,3504.75,3544.75,T,1975.0
2018-02-26 14:03:00,2018-02-27 15:07:00,3546.25,3526.25,S,-1025.0
2018-03-01 10:34:00,2018-03-01 10:58:00,3502.0,3482.0,S,-1025.0
2018-03-02 11:44:00,2018-03-05 11:40:00,3443.75,3483.75,T,1975.0
2018-03-07 10:23:00,2018-03-09 08:35:00,3489.25,3529.25,T,1975.0
2018-03-09 11:58:02,2018-03-14 11:36:00,3543.25,3523.25,S,-1025.0
2018-03-21 13:59:00,2018-03-21 14:49:00,3503.25,3483.25,S,-1025.0
2018-03-26 14:30:00,2018-03-27 15:05:00,3411.5,3391.5,S,-1025.0
2018-03-28 12:18:00,2018-03-28 12:56:00,3398.0,3378.0,S,-1025.0
2018-03-29 10:58:00,2018-04-02 10:11:00,3401.0,3381.0,S,-1025.0
2018-04-04 09:56:00,2018-04-04 14:27:00,3355.25,3395.25,T,1975.0
2018-04-06 09:50:00,2018-04-06 10:43:00,3422.25,3402.25,S,-1025.0
2018-04-09 10:31:00,2018-04-09 15:56:00,3400.75,3380.75,S,-1025.0
2018-04-11 11:49:00,2018-04-17 01:55:00,3421.25,3461.25,T,1975.0
2018-04-26 13:09:00,2018-04-30 15:57:00,3435.0,3415.0,S,-1025.0
2018-05-04 10:08:00,2018-05-06 18:20:00,3398.0,3438.0,T,1975.0
2018-05-09 12:47:00,2018-05-11 10:56:00,3459.0,3499.0,T,1975.0
2018-05-16 12:30:00,2018-05-23 04:22:01,3493.5,3473.5,S,-1025.0
2018-05-23 14:24:00,2018-05-24 10:54:00,3493.5,3473.5,S,-1025.0
2018-05-30 11:31:00,2018-06-06 11:23:00,3485.25,3525.25,T,1975.0
2018-06-19 14:41:00,2018-06-24 20:26:00,3529.0,3509.0,S,-1025.0
2018-06-27 10:37:00,2018-06-27 12:58:00,3510.5,3490.5,S,-1025.0
2018-06-28 14:20:00,2018-07-06 11:17:00,3480.0,3520.0,T,1975.0
2018-07-17 11:43:00,2018-07-25 15:49:00,3570.0,3610.0,T,1975.0
2018-08-02 11:29:00,2018-08-06 13:00:00,3575.25,3615.25,T,1975.0
2018-08-16 12:07:00,2018-08-27 09:30:00,3613.25,3653.25,T,1975.0
2018-09-07 10:47:00,2018-09-20 08:37:00,3645.5,3685.5,T,1975.0
2018-10-11 09:57:00,2018-10-11 10:17:00,3555.5,3535.5,S,-1025.0
2018-10-16 10:57:00,2018-10-18 11:50:00,3546.75,3526.75,S,-1025.0
2018-10-19 09:49:00,2018-10-19 12:25:00,3551.25,3531.25,S,-1025.0
2018-10-23 13:06:00,2018-10-24 11:05:00,3488.5,3468.5,S,-1025.0
2018-10-25 10:03:00,2018-10-25 16:56:00,3453.5,3433.5,S,-1025.0
2018-10-26 12:42:00,2018-10-26 14:21:00,3438.75,3418.75,S,-1025.0
2018-10-30 09:49:00,2018-10-31 02:59:00,3417.0,3457.0,T,1975.0
2018-10-31 10:32:00,2018-10-31 16:13:00,3485.0,3465.0,S,-1025.0
2018-11-01 13:25:00,2018-11-02 11:45:00,3494.0,3474.0,S,-1025.0
2018-11-05 14:49:00,2018-11-07 04:29:00,3501.5,3541.5,T,1975.0
2018-11-07 11:52:00,2018-11-09 11:57:00,3553.5,3533.5,S,-1025.0
2018-11-13 11:17:00,2018-11-13 12:40:00,3511.0,3491.0,S,-1025.0
2018-11-15 11:32:00,2018-11-16 12:46:00,3463.5,3503.5,T,1975.0
2018-11-16 13:09:00,2018-11-19 10:20:00,3492.75,3472.75,S,-1025.0
2018-11-20 12:03:00,2018-11-20 13:17:00,3427.75,3407.75,S,-1025.0
2018-11-23 11:16:01,2018-11-27 16:30:00,3404.75,3444.75,T,1975.0
2018-11-28 12:01:00,2018-11-29 14:48:01,3468.75,3508.75,T,1975.0
2018-11-29 14:48:01,2018-11-30 05:44:00,3509.75,3489.75,S,-1025.0
2018-11-30 14:13:00,2018-12-02 18:00:00,3510.0,3551.5,T,2050.0
2018-12-06 13:59:00,2018-12-06 14:22:00,3431.0,3411.0,S,-1025.0
2018-12-07 09:40:00,2018-12-07 10:13:00,3465.75,3445.75,S,-1025.0
2018-12-19 09:54:00,2018-12-19 14:03:00,3321.5,3301.5,S,-1025.0
2018-12-20 10:06:00,2018-12-20 11:17:00,3265.75,3245.75,S,-1025.0
2018-12-21 10:12:00,2018-12-21 11:03:00,3248.0,3228.0,S,-1025.0
2018-12-26 09:37:00,2018-12-26 09:57:00,3139.75,3119.75,S,-1025.0
2018-12-28 14:52:00,2018-12-28 15:09:00,3274.25,3254.25,S,-1025.0
2019-01-02 10:03:00,2019-01-03 01:00:00,3239.5,3219.5,S,-1025.0
2019-01-04 09:58:00,2019-01-04 13:05:00,3252.5,3292.5,T,1975.0
2019-01-07 11:03:00,2019-01-09 09:58:00,3303.5,3343.5,T,1975.0
2019-01-10 11:12:00,2019-01-16 14:28:00,3339.75,3379.75,T,1975.0
2019-01-17 11:06:00,2019-01-18 10:18:00,3374.75,3414.75,T,1975.0
2019-01-18 11:58:00,2019-01-21 22:03:03,3427.0,3407.0,S,-1025.0
2019-01-30 14:02:00,2019-01-31 16:34:00,3425.25,3465.25,T,1975.0
2019-02-12 11:12:00,2019-02-17 18:00:00,3495.75,3535.75,T,1975.0
2019-02-19 11:46:00,2019-03-07 02:27:00,3535.5,3515.5,S,-1025.0
2019-03-11 10:19:01,2019-03-13 09:52:00,3519.25,3559.25,T,1975.0
2019-03-13 11:27:00,2019-03-21 14:30:00,3571.5,3611.5,T,1975.0
2019-04-23 11:24:00,2019-05-02 11:24:00,3679.75,3659.75,S,-1025.0
2019-05-03 13:51:03,2019-05-05 18:00:00,3697.75,3666.75,S,-1575.0
2019-05-06 09:56:01,2019-05-07 10:05:00,3662.0,3642.0,S,-1025.0
2019-05-08 10:59:00,2019-05-08 20:38:00,3645.25,3625.25,S,-1025.0
2019-05-09 12:39:00,2019-05-10 00:54:03,3621.75,3601.75,S,-1025.0
2019-05-10 14:51:00,2019-05-12 18:00:00,3625.5,3605.5,S,-1025.0
2019-05-14 10:27:00,2019-05-15 08:42:00,3587.25,3567.25,S,-1025.0
2019-05-15 10:13:00,2019-05-16 09:56:00,3587.0,3627.0,T,1975.0
2019-05-17 10:21:00,2019-05-20 06:13:01,3617.5,3597.5,S,-1025.0
