open_plus_X,kill_eod,SL,TP,rok,obchodu,uspesnost,usd
15,1,25.0,10.0,2016,8,0.625,1312.5
15,1,25.0,10.0,2017,14,0.357,-700.0
15,1,25.0,10.0,2018,80,0.562,-7125.0
15,1,25.0,10.0,2019,52,0.692,8725.0
15,1,25.0,10.0,2020,127,0.709,8487.5
15,1,25.0,10.0,2021,114,0.693,10912.5
15,1,25.0,10.0,2022,169,0.669,-16262.5
15,1,25.0,10.0,2023,138,0.652,-162.5
15,1,25.0,10.0,2024,125,0.736,7962.5
15,1,25.0,10.0,2025,152,0.743,9562.5
15,1,25.0,10.0,2026,96,0.719,1125.0
10,1,5.0,80.0,2016,20,0.3,425.0
10,1,5.0,80.0,2017,38,0.447,-425.0
10,1,5.0,80.0,2018,119,0.252,-2375.0
10,1,5.0,80.0,2019,100,0.37,2737.5
10,1,5.0,80.0,2020,153,0.209,-8000.0
10,1,5.0,80.0,2021,149,0.342,19675.0
10,1,5.0,80.0,2022,201,0.109,-7675.0
10,1,5.0,80.0,2023,173,0.208,6675.0
10,1,5.0,80.0,2024,161,0.217,5350.0
10,1,5.0,80.0,2025,180,0.2,11412.5
10,1,5.0,80.0,2026,110,0.164,9925.0
15,0,12.5,40.0,2016,7,0.286,700.0
15,0,12.5,40.0,2017,10,0.2,-1250.0
15,0,12.5,40.0,2018,76,0.197,-9950.0
15,0,12.5,40.0,2019,47,0.319,7625.0
15,0,12.5,40.0,2020,120,0.225,-7425.0
15,0,12.5,40.0,2021,102,0.363,30825.0
15,0,12.5,40.0,2022,165,0.242,-2250.0
15,0,12.5,40.0,2023,128,0.305,20087.5
15,0,12.5,40.0,2024,113,0.292,13175.0
15,0,12.5,40.0,2025,149,0.248,-350.0
15,0,12.5,40.0,2026,95,0.284,9125.0
10,1,10.0,80.0,2016,20,0.4,2262.5
10,1,10.0,80.0,2017,38,0.526,437.5
10,1,10.0,80.0,2018,119,0.378,0.0
10,1,10.0,80.0,2019,100,0.5,8325.0
10,1,10.0,80.0,2020,153,0.333,-7512.5
10,1,10.0,80.0,2021,149,0.497,25687.5
10,1,10.0,80.0,2022,201,0.224,10212.5
10,1,10.0,80.0,2023,173,0.289,-5500.0
10,1,10.0,80.0,2024,161,0.348,3137.5
10,1,10.0,80.0,2025,180,0.294,6150.0
10,1,10.0,80.0,2026,110,0.264,5812.5
15,1,5.0,60.0,2016,8,0.375,1062.5
15,1,5.0,60.0,2017,14,0.357,-1037.5
15,1,5.0,60.0,2018,80,0.225,-3862.5
15,1,5.0,60.0,2019,52,0.442,3237.5
15,1,5.0,60.0,2020,127,0.244,-2275.0
15,1,5.0,60.0,2021,114,0.316,7750.0
15,1,5.0,60.0,2022,169,0.148,7525.0
15,1,5.0,60.0,2023,138,0.232,8112.5
15,1,5.0,60.0,2024,125,0.248,2737.5
15,1,5.0,60.0,2025,152,0.191,1925.0
15,1,5.0,60.0,2026,96,0.167,3612.5
10,1,7.5,30.0,2016,20,0.35,1725.0
10,1,7.5,30.0,2017,38,0.5,225.0
10,1,7.5,30.0,2018,119,0.311,-4200.0
10,1,7.5,30.0,2019,100,0.44,5325.0
10,1,7.5,30.0,2020,153,0.307,-2737.5
10,1,7.5,30.0,2021,149,0.456,25437.5
10,1,7.5,30.0,2022,201,0.219,-1712.5
10,1,7.5,30.0,2023,173,0.266,-575.0
10,1,7.5,30.0,2024,161,0.304,4700.0
10,1,7.5,30.0,2025,180,0.278,7225.0
10,1,7.5,30.0,2026,110,0.273,5862.5
15,1,25.0,40.0,2016,8,0.625,2787.5
15,1,25.0,40.0,2017,14,0.357,-837.5
15,1,25.0,40.0,2018,80,0.438,-7912.5
15,1,25.0,40.0,2019,52,0.615,10500.0
15,1,25.0,40.0,2020,127,0.528,1462.5
15,1,25.0,40.0,2021,114,0.579,18325.0
15,1,25.0,40.0,2022,169,0.438,-10087.5
15,1,25.0,40.0,2023,138,0.529,10200.0
15,1,25.0,40.0,2024,125,0.576,10300.0
15,1,25.0,40.0,2025,152,0.526,15875.0
15,1,25.0,40.0,2026,96,0.448,-3337.5
10,1,5.0,40.0,2016,20,0.3,425.0
10,1,5.0,40.0,2017,38,0.447,-425.0
10,1,5.0,40.0,2018,119,0.252,-3725.0
10,1,5.0,40.0,2019,100,0.37,2975.0
10,1,5.0,40.0,2020,153,0.222,-4737.5
10,1,5.0,40.0,2021,149,0.342,22737.5
10,1,5.0,40.0,2022,201,0.119,-11787.5
10,1,5.0,40.0,2023,173,0.214,7762.5
10,1,5.0,40.0,2024,161,0.224,8237.5
10,1,5.0,40.0,2025,180,0.217,10587.5
10,1,5.0,40.0,2026,110,0.2,12025.0
10,1,10.0,30.0,2016,20,0.4,2287.5
10,1,10.0,30.0,2017,38,0.526,437.5
10,1,10.0,30.0,2018,119,0.387,-1950.0
10,1,10.0,30.0,2019,100,0.5,8187.5
10,1,10.0,30.0,2020,153,0.379,1375.0
10,1,10.0,30.0,2021,149,0.497,26812.5
10,1,10.0,30.0,2022,201,0.279,1912.5
10,1,10.0,30.0,2023,173,0.318,-1662.5
10,1,10.0,30.0,2024,161,0.366,5712.5
10,1,10.0,30.0,2025,180,0.333,7987.5
10,1,10.0,30.0,2026,110,0.291,-137.5
15,1,15.0,60.0,2016,8,0.625,2787.5
15,1,15.0,60.0,2017,14,0.357,-837.5
15,1,15.0,60.0,2018,80,0.388,-4150.0
15,1,15.0,60.0,2019,52,0.596,8637.5
15,1,15.0,60.0,2020,127,0.402,-10725.0
15,1,15.0,60.0,2021,114,0.544,20812.5
15,1,15.0,60.0,2022,169,0.314,4737.5
15,1,15.0,60.0,2023,138,0.413,950.0
15,1,15.0,60.0,2024,125,0.472,3100.0
15,1,15.0,60.0,2025,152,0.368,-5537.5
15,1,15.0,60.0,2026,96,0.354,6037.5
10,0,25.0,20.0,2016,16,0.625,2100.0
10,0,25.0,20.0,2017,27,0.63,3825.0
10,0,25.0,20.0,2018,104,0.529,-7512.5
10,0,25.0,20.0,2019,85,0.659,17862.5
10,0,25.0,20.0,2020,145,0.648,26625.0
10,0,25.0,20.0,2021,139,0.626,18525.0
10,0,25.0,20.0,2022,201,0.517,-21937.5
10,0,25.0,20.0,2023,157,0.58,4575.0
10,0,25.0,20.0,2024,154,0.571,1925.0
10,0,25.0,20.0,2025,177,0.605,17300.0
10,0,25.0,20.0,2026,110,0.518,-12875.0
10,0,30.0,10.0,2016,17,0.706,-1925.0
10,0,30.0,10.0,2017,33,0.788,1900.0
10,0,30.0,10.0,2018,108,0.722,-8700.0
10,0,30.0,10.0,2019,93,0.796,6337.5
10,0,30.0,10.0,2020,149,0.805,13225.0
10,0,30.0,10.0,2021,144,0.799,10400.0
10,0,30.0,10.0,2022,201,0.682,-32525.0
10,0,30.0,10.0,2023,165,0.758,-1625.0
10,0,30.0,10.0,2024,158,0.759,-950.0
10,0,30.0,10.0,2025,177,0.757,-1925.0
