SL,RRR,n,win,usd_med,usd_lo,usd_hi
2.0,10,2368.0,9.882051695354411,-40025.0,-47220.0,-25713.75
2.0,15,2274.8,6.9652139779009286,-27987.5,-52001.25,-16745.0
2.0,20,2198.1,5.3832963568663725,-31812.5,-57056.25,2302.4999999999977
3.0,10,2199.5,10.381917702639436,-7700.0,-33395.0,12109.999999999993
3.0,15,2044.3,7.558268020154317,10031.25,-2828.7499999999995,28669.999999999993
3.0,20,1947.4,5.620503800887254,7837.5,-23823.75,23243.749999999996
5.0,10,1827.3,10.835033952752198,29700.0,16593.75,74498.75
5.0,15,1644.5,7.389706193689159,33537.5,4075.0000000000005,57961.24999999999
5.0,20,1518.8,5.789937330045069,39206.25,-2473.75,75076.25
7.5,10,1484.2,10.970554712135321,78275.0,47966.25,87887.5
7.5,15,1282.2,7.932870885802972,88606.25,47860.0,134377.5
7.5,20,1134.3,6.119077115142567,77362.5,31628.75,146278.75
10.0,10,1218.5,10.97418856787262,93675.0,56451.25,137003.75
10.0,15,1016.5,7.934622107170831,94125.0,76798.75,145658.75
10.0,20,860.1,6.435215417809118,127218.75,63893.75,158498.75
15.0,10,848.7,11.788302771838692,167062.5,111098.75,202487.5
15.0,15,650.4,8.145971333120022,130693.75,56585.0,185200.0
15.0,20,542.3,6.79249863987175,160031.25,81563.75,181781.25
