X,kill,SL,RRR,smer,n,tp,win,be,usd,ptt,t,dd,streak
10,No,2.0,10,long,1400,10.071,10.071,9.091,-20812.5,-0.297,-1.667,-24387.5,55
10,No,2.0,10,short,1395,8.53,8.53,9.091,-43475.0,-0.623,-3.787,-46450.0,61
10,No,3.0,10,long,1386,11.688,11.688,9.091,23112.5,0.334,1.167,-14425.0,41
10,No,3.0,10,short,1390,9.712,9.712,9.091,-20862.5,-0.3,-1.145,-34600.0,46
10,No,5.0,10,long,1306,11.945,11.945,9.091,68412.5,1.048,2.114,-15950.0,36
10,No,5.0,10,short,1344,9.375,9.375,9.091,-24700.0,-0.368,-0.828,-44000.0,75
10,No,7.5,10,long,1158,10.794,10.794,9.091,49487.5,0.855,1.132,-26500.0,46
10,No,7.5,10,short,1248,8.974,8.974,9.091,-36100.0,-0.579,-0.853,-59600.0,67
10,No,10.0,10,long,994,11.368,11.368,9.091,97812.5,1.968,1.774,-38262.5,31
10,No,10.0,10,short,1129,9.655,9.655,9.091,4900.0,0.087,0.089,-51075.0,59
10,No,15.0,10,long,765,11.111,11.111,9.091,105037.5,2.746,1.462,-40850.0,39
10,No,15.0,10,short,889,8.324,8.324,9.091,-82750.0,-1.862,-1.215,-109600.0,52
10,No,2.0,15,long,1393,7.251,7.251,6.25,-13737.5,-0.197,-0.884,-26625.0,69
10,No,2.0,15,short,1391,6.039,6.039,6.25,-39475.0,-0.568,-2.776,-42375.0,78
10,No,3.0,15,long,1351,7.994,7.994,6.25,21337.5,0.316,0.889,-21500.0,41
10,No,3.0,15,short,1366,6.442,6.442,6.25,-27912.5,-0.409,-1.279,-44350.0,81
10,No,5.0,15,long,1212,7.756,7.756,6.25,39262.5,0.648,1.049,-27337.5,60
10,No,5.0,15,short,1293,6.574,6.574,6.25,-17475.0,-0.27,-0.485,-46125.0,75
10,No,7.5,15,long,1034,7.447,7.447,6.25,45100.0,0.872,0.889,-31412.5,48
10,No,7.5,15,short,1167,6.769,6.769,6.25,5737.5,0.098,0.111,-56800.0,88
10,No,10.0,15,long,872,7.683,7.683,6.25,74625.0,1.712,1.184,-34262.5,48
10,No,10.0,15,short,994,5.835,5.835,6.25,-61962.5,-1.247,-1.045,-94825.0,75
10,No,15.0,15,long,604,8.444,8.444,6.25,140325.0,4.647,1.709,-46500.0,60
10,No,15.0,15,short,761,5.125,5.125,6.25,-125987.5,-3.311,-1.722,-158875.0,73
10,No,2.0,20,long,1380,5.58,5.58,4.762,-12012.5,-0.174,-0.669,-29475.0,78
